timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
564943965,32767,32767,32767,32767,32767,32767
564948907,32767,32767,32767,32767,32767,32767
564953849,32767,32767,32767,32767,-31,32767
564958792,32767,32767,32767,32767,32767,32767
564963735,32767,32767,32767,32767,32767,-32
564968678,32767,32767,32767,32767,32767,32767
564973619,32767,32767,32767,32767,32767,32767
564978562,32767,32767,32767,32767,32767,32767
564983504,32767,32767,32767,1,32767,32767
564988446,32767,32767,32767,32767,32767,-28
564993389,32767,32767,32767,32767,32767,32767
564998331,32767,32767,32767,32767,32767,32767
565003274,32767,32767,32767,32767,32767,32767
565008216,32767,32767,32767,32767,32767,32767
565013158,32767,32767,32767,32767,32767,32767
565018101,32767,32767,32767,32767,32767,32767
565023043,32767,32767,32767,32767,32767,32767
565027986,32767,32767,32767,-9,32767,-34
565032928,32767,32767,32767,32767,32767,32767
565037871,32767,32767,32767,32767,32767,32767
565042814,32767,32767,32767,32767,32767,32767
565047755,32767,32767,32767,32767,32767,32767
565052698,32767,32767,32767,32767,32767,32767
565057640,32767,32767,32767,32767,32767,-24
565062582,32767,32767,32767,32767,32767,32767
565067525,32767,32767,32767,32767,32767,32767
565072468,32767,32767,32767,32767,-15,32767
565077410,32767,32767,32767,32767,32767,32767
565082352,32767,32767,32767,32767,32767,32767
565087295,32767,32767,32767,32767,32767,32767
565092239,32767,32767,32767,32767,-13,32767
565097179,32767,32767,32767,32767,32767,-17
565102122,32767,32767,32767,32767,32767,32767
565107075,32767,32767,32767,32767,32767,32767
565112008,32767,32767,32767,32767,32767,32767
565116952,32767,32767,32767,-34,32767,32767
565121891,32767,32767,32767,32767,32767,32767
565126836,32767,32767,32767,32767,32767,-16
565131777,32767,32767,32767,32767,32767,32767
565136719,32767,32767,32767,32767,32767,32767
565141661,32767,32767,32767,32767,32767,32767
565146603,32767,32767,32767,32767,32767,32767
565151546,32767,32767,32767,32767,32767,32767
565156488,32767,32767,32767,5,32767,-4
565161431,32767,32767,32767,32767,32767,32767
565166373,32767,32767,32767,32767,32767,32767
565171316,32767,32767,32767,32767,32767,32767
565176258,32767,32767,32767,32767,32767,32767
565181200,32767,32767,32767,32767,32767,32767
565186143,32767,32767,32767,32767,32767,32767
565191085,32767,32767,32767,32767,32767,2
565196028,32767,32767,32767,32767,32767,32767
565200970,32767,32767,32767,32767,32767,32767
565205926,32767,32767,32767,32767,32767,32767
