timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
564911381,564787270,0.01432196,0.046642944,0.0011080278,1,0,0,0,0,0,0,0,0,0,0
564980304,564857788,0.013726219,0.04581397,0.0010718524,1,0,0,0,0,0,0,0,0,0,0
565098854,564977900,0.01356135,0.04356374,0.0013143297,1,0,0,0,0,0,0,0,0,0,0
565266521,565145754,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565356518,565230878,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565483846,565360844,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565602511,565482756,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565731352,565606758,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565850731,565729120,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
565978248,565854796,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
566118754,565993018,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
566274822,566157034,0.0011119493,0.00020008197,0.0003475437,1,0,0,0,0,0,0,0,0,0,0
566354203,566236732,0.0011030873,0.00059848843,0.0004614097,1,0,0,0,0,0,0,0,0,0,0
566482678,566365002,0.0010889381,0.00059084175,0.0003255631,1,0,0,0,0,0,0,0,0,0,0
566612000,566490718,0.0010752485,0.0018834441,0.00057641725,1,0,0,0,0,0,0,0,0,0,0
566739373,566616898,0.0012031733,0.0032596604,0.00033684136,1,0,0,0,0,0,0,0,0,0,0
566859628,566737738,0.0021608116,0.002020258,0.00024256209,1,0,0,0,0,0,0,0,0,0,0
566978733,566857728,0.0022103938,0.0027961081,0.00040346986,1,0,0,0,0,0,0,0,0,0,0
567114904,566989946,0.0021066468,0.003659097,0.0002684763,1,0,0,0,0,0,0,0,0,0,0
567264665,567144126,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567362364,567238704,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567481374,567358718,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567611017,567488848,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567737912,567618756,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567866240,567741400,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
567975405,567855458,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568113855,567990836,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568282033,568157648,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568362825,568241772,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568481505,568356246,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568607586,568490774,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568737274,568617386,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568864604,568740094,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
568974750,568854802,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569114114,568991720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569270163,569148894,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569359340,569238750,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569478691,569358622,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569606103,569486328,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569735356,569616724,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569864612,569739600,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
569981583,569856942,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570110066,569993720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570279584,570160808,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570357234,570237728,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570486386,570360652,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570616970,570490396,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570732904,570608760,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570861507,570740812,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
570981277,570861492,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571109017,570985212,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571268217,571142128,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571357773,571232226,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571483857,571359792,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571602749,571482276,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571731497,571612300,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571859588,571736770,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
571989204,571863440,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572108286,571983710,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572264930,572144172,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572354379,572234416,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572482904,572360288,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572610757,572488160,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572740865,572615430,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572859852,572735046,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
572996366,572871292,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
