timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
564939745,564939022,68467874,59.396201899999994,24.6605964,2.334829,-1.2806171,-2.560867,-0.021752972,-0.012412676,-0.03908609,-0.02986131,0.020409537,-0.04972894,-0.030435989,-0.0076688584,-0.002126247,-0.016722856,0.0030794528,0.012666201,-0.02461122,-0.16209489,-0.0043945326,28.056198,0.1,0.18697831,0.18481264,0.1109973,0.082552195,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564949695,564948907,68467874,59.396201899999994,24.6605964,2.3345697,-1.2804551,-2.561383,-0.021752972,-0.012412676,-0.03908609,-0.029860971,0.02029393,-0.050320126,-0.0312477,-0.0076688584,-0.002126247,-0.016722856,-0.0019477244,-0.021565272,-0.07525391,-0.1620942,-0.0043945326,28.056198,0.1,0.18771441,0.18538594,0.111427665,0.08275945,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564959589,564958792,68467874,59.396201899999994,24.6605964,2.33431,-1.280294,-2.5619066,-0.021752972,-0.012412676,-0.03908609,-0.029720364,0.020254318,-0.050899614,-0.032046273,-0.0076688584,-0.002126247,-0.016722856,0.027438005,0.006855619,-0.04786079,-0.16210161,-0.0043945326,28.056198,0.1,0.18845554,0.18596177,0.11185898,0.082966775,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564969671,564968678,68467874,59.396201899999994,24.6605964,2.3340514,-1.2801332,-2.562435,-0.021752972,-0.012412676,-0.03908609,-0.0301157,0.019850938,-0.051169034,-0.03253331,-0.0076688584,-0.002126247,-0.016722856,-0.117495336,-0.12902474,-0.011956921,-0.16220391,-0.0043945326,28.056198,0.1,0.18920168,0.18654013,0.1122922,0.083174184,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564980270,564978562,68467874,59.396201899999994,24.6605964,2.3338132,-1.2799405,-2.562736,-0.021752972,-0.012412676,-0.03908609,-0.029493874,0.020127272,-0.05114228,-0.03248484,-0.0076688584,-0.002126247,-0.016722856,0.12508754,-0.026474193,-0.069101654,-0.16209298,-0.0043945326,28.056198,0.1,0.18085152,0.1804487,0.1073638,0.080884226,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564989048,564988446,68467874,59.396201899999994,24.6605964,2.3335795,-1.2797468,-2.5630445,-0.021752972,-0.012412676,-0.03908609,-0.029004352,0.019453038,-0.05054642,-0.03187601,-0.0076688584,-0.002126247,-0.016722856,0.14026421,-0.2814229,0.06534828,-0.16173856,-0.0043945326,28.056198,0.1,0.18154521,0.18100186,0.107789725,0.08109084,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564999082,564998331,68467874,59.396201899999994,24.6605964,2.3333457,-1.2795545,-2.5634882,-0.021752972,-0.012412676,-0.03908609,-0.030612031,0.02078339,-0.053077575,-0.034527384,-0.0076688584,-0.002126247,-0.016722856,-0.36371452,0.082070224,-0.30712572,-0.16171472,-0.0043945326,28.056198,0.1,0.18224382,0.18131377,0.10821607,0.08124506,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565008875,565008216,68467874,59.396201899999994,24.6605964,2.333104,-1.2793647,-2.563945,-0.021752972,-0.012412676,-0.03908609,-0.029576702,0.019950425,-0.053298727,-0.034871392,-0.0076688584,-0.002126247,-0.016722856,0.057982426,0.008057674,-0.16107127,-0.16217427,-0.0043945326,28.056198,0.1,0.18294738,0.18187122,0.10864441,0.08145182,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565018930,565018101,68467874,59.396201899999994,24.6605964,2.3328695,-1.2791787,-2.5644097,-0.021752972,-0.012412676,-0.03908609,-0.029467197,0.0196683,-0.05219917,-0.03389713,-0.0076688584,-0.002126247,-0.016722856,-0.065472946,-0.051236372,0.23591168,-0.16252607,-0.0043945326,28.056198,0.1,0.18365592,0.1824312,0.10907287,0.081658676,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565029090,565027986,68467874,59.396201899999994,24.6605964,2.33263,-1.278984,-2.5648732,-0.021752972,-0.012412676,-0.03908609,-0.028468043,0.019855494,-0.05338903,-0.035214588,-0.0076688584,-0.002126247,-0.016722856,0.48805338,-0.35950005,-0.39340237,-0.16240081,-0.0043945326,28.056198,0.1,0.1843694,0.1829937,0.10950096,0.081865616,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565038996,565037871,68467874,59.396201899999994,24.6605964,2.3323977,-1.2787966,-2.5653474,-0.021752972,-0.012412676,-0.03908609,-0.030240467,0.020665055,-0.05336037,-0.035315692,-0.0076688584,-0.002126247,-0.016722856,-0.3863606,0.17151779,0.060942855,-0.16199908,-0.0043945326,28.056198,0.1,0.18508787,0.18355872,0.10992945,0.08207263,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565048878,565047755,68467874,59.396201899999994,24.6605964,2.3321576,-1.2786119,-2.5658243,-0.021752972,-0.012412676,-0.03908609,-0.029373754,0.019694714,-0.05295723,-0.035044346,-0.0076688584,-0.002126247,-0.016722856,0.010797688,0.038848244,0.15852025,-0.16185084,-0.0043945326,28.056198,0.1,0.18581134,0.18412626,0.11036003,0.08227971,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565058841,565057640,68467874,59.396201899999994,24.6605964,2.3319159,-1.2784288,-2.5664248,-0.021752972,-0.012412676,-0.03908609,-0.03011879,0.020608984,-0.055389866,-0.037725434,-0.0076688584,-0.002126247,-0.016722856,-0.050426845,0.23848115,-0.23248649,-0.16206782,-0.0043945326,28.056198,0.1,0.18653983,0.18443969,0.11079099,0.082430564,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565068626,565067525,68467874,59.396201899999994,24.6605964,2.3316743,-1.2782413,-2.5670304,-0.021752972,-0.012412676,-0.03908609,-0.029678902,0.01919965,-0.054297335,-0.03687815,-0.0076688584,-0.002126247,-0.016722856,-0.0359206,-0.2941252,0.07580332,-0.16234139,-0.0043945326,28.056198,0.1,0.18727332,0.18501148,0.111221656,0.08263777,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565078035,565077410,68467874,59.396201899999994,24.6605964,2.331437,-1.2780578,-2.567641,-0.021752972,-0.012412676,-0.03908609,-0.028743993,0.019604435,-0.055734247,-0.038557123,-0.0076688584,-0.002126247,-0.016722856,0.08330309,-0.14467515,-0.04733308,-0.1623697,-0.0043945326,28.056198,0.1,0.18801184,0.1855858,0.11165305,0.08284516,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565087877,565087295,68467874,59.396201899999994,24.6605964,2.3311982,-1.2778748,-2.5682466,-0.021752972,-0.012412676,-0.03908609,-0.029646765,0.019591581,-0.053704724,-0.03676655,-0.0076688584,-0.002126247,-0.016722856,-0.068405464,-0.07857945,0.27740613,-0.16214281,-0.0043945326,28.056198,0.1,0.1887554,0.18616265,0.11208249,0.08305264,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565098820,565097179,68467874,59.396201899999994,24.6605964,2.3309178,-1.2776437,-2.5686238,-0.021752972,-0.012412676,-0.03908609,-0.028256908,0.02056678,-0.05630249,-0.039365225,-0.0076688584,-0.002126247,-0.016722856,0.118971534,0.41378343,-0.38741237,-0.16196266,-0.0043945326,28.056198,0.1,0.18046926,0.18010959,0.10719335,0.08077646,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565107651,565107075,68467874,59.396201899999994,24.6605964,2.3306434,-1.2774096,-2.5690258,-0.021752972,-0.012412676,-0.03908609,-0.02880987,0.01984645,-0.056230064,-0.039300773,-0.0076688584,-0.002126247,-0.016722856,-0.07031176,0.05333552,0.046581656,-0.16202974,-0.0043945326,28.056198,0.1,0.18116075,0.1806614,0.10761822,0.08098309,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565117833,565116952,68467874,59.396201899999994,24.6605964,2.330364,-1.2771811,-2.5694315,-0.021752972,-0.012412676,-0.03908609,-0.029750599,0.019488407,-0.056517858,-0.039603308,-0.0076688584,-0.002126247,-0.016722856,-0.15112981,-0.00658092,-0.08365138,-0.16227424,-0.0043945326,28.056198,0.1,0.18185718,0.18121573,0.10804337,0.08118986,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565127747,565126836,68467874,59.396201899999994,24.6605964,2.3300834,-1.2769543,-2.5699403,-0.021752972,-0.012412676,-0.03908609,-0.0288905,0.01891509,-0.056836966,-0.040035594,-0.0076688584,-0.002126247,-0.016722856,0.060687535,-0.21411158,0.095009275,-0.16236883,-0.0043945326,28.056198,0.1,0.18255855,0.18152793,0.10847342,0.081344016,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565137520,565136719,68467874,59.396201899999994,24.6605964,2.3298032,-1.2767308,-2.5704453,-0.021752972,-0.012412676,-0.03908609,-0.02904108,0.019076342,-0.055838194,-0.039152212,-0.0076688584,-0.002126247,-0.016722856,0.087520994,-0.12456356,0.094482735,-0.16223253,-0.0043945326,28.056198,0.1,0.18326488,0.18208656,0.10889855,0.08155072,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565147422,565146603,68467874,59.396201899999994,24.6605964,2.329526,-1.2765065,-2.5709465,-0.021752972,-0.012412676,-0.03908609,-0.029408624,0.01981618,-0.055997666,-0.039429147,-0.0076688584,-0.002126247,-0.016722856,-0.14435056,0.043495316,-0.13918462,-0.16208139,-0.0043945326,28.056198,0.1,0.18397619,0.1826477,0.10932539,0.08175769,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565157461,565156488,68467874,59.396201899999994,24.6605964,2.3292465,-1.2762848,-2.5714638,-0.021752972,-0.012412676,-0.03908609,-0.029106649,0.019870628,-0.057941407,-0.041492295,-0.0076688584,-0.002126247,-0.016722856,0.049150806,0.13804214,-0.21184437,-0.16210543,-0.0043945326,28.056198,0.1,0.18469244,0.18321137,0.10976024,0.08196454,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565167008,565166373,68467874,59.396201899999994,24.6605964,2.3289673,-1.276064,-2.5719972,-0.021752972,-0.012412676,-0.03908609,-0.029866338,0.020048603,-0.05819387,-0.04186598,-0.0076688584,-0.002126247,-0.016722856,-0.13053769,0.14129862,0.032770462,-0.16225539,-0.0043945326,28.056198,0.1,0.18541373,0.18377754,0.11018526,0.0821717,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565176995,565176258,68467874,59.396201899999994,24.6605964,2.3286903,-1.2758471,-2.5725312,-0.021752972,-0.012412676,-0.03908609,-0.028433932,0.018806344,-0.058097277,-0.0418923,-0.0076688584,-0.002126247,-0.016722856,0.13475333,-0.12588376,0.00048737662,-0.16233031,-0.0043945326,28.056198,0.1,0.18614,0.18434626,0.110620156,0.08237897,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565186884,565186143,68467874,59.396201899999994,24.6605964,2.3284144,-1.2756354,-2.5731933,-0.021752972,-0.012412676,-0.03908609,-0.02938792,0.018766068,-0.05845739,-0.04250682,-0.0076688584,-0.002126247,-0.016722856,-0.061405677,-0.0888536,-0.07602694,-0.16226587,-0.0043945326,28.056198,0.1,0.1868713,0.18465994,0.111042805,0.08252954,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565196615,565196028,68467874,59.396201899999994,24.6605964,2.3281372,-1.2754227,-2.573862,-0.021752972,-0.012412676,-0.03908609,-0.029038742,0.019108353,-0.05890117,-0.043200836,-0.0076688584,-0.002126247,-0.016722856,0.02494108,-0.067390986,0.045888707,-0.16218655,-0.0043945326,28.056198,0.1,0.1876076,0.18523291,0.11148183,0.082736894,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565206617,565205926,68467874,59.396201899999994,24.6605964,2.3278584,-1.2752115,-2.5745332,-0.021752972,-0.012412676,-0.03908609,-0.0298742,0.019320106,-0.059204713,-0.043750655,-0.0076688584,-0.002126247,-0.016722856,-0.12775439,0.049508933,-0.012469367,-0.16218908,-0.0043945326,28.056198,0.1,0.18834895,0.18580839,0.11191308,0.08294422,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565216463,565215797,68467874,59.396201899999994,24.6605964,2.3275836,-1.2749993,-2.5752044,-0.021752972,-0.012412676,-0.03908609,-0.028508592,0.019666117,-0.059849568,-0.04463772,-0.0076688584,-0.002126247,-0.016722856,0.077218294,0.060897503,-0.07403878,-0.16226575,-0.0043945326,28.056198,0.1,0.18909536,0.1863864,0.1123452,0.08315159,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565226481,565225688,68467874,59.396201899999994,24.6605964,2.32731,-1.2747872,-2.5758777,-0.021752972,-0.012412676,-0.03908609,-0.028937262,0.019442197,-0.05983876,-0.044865217,-0.0076688584,-0.002126247,-0.016722856,-0.012073745,0.00015056285,0.015878707,-0.16229485,-0.0043945326,28.056198,0.1,0.18984681,0.18696696,0.11277827,0.08335923,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565236329,565235567,68467874,59.396201899999994,24.6605964,2.327032,-1.2745765,-2.5765538,-0.021752972,-0.012412676,-0.03908609,-0.029646972,0.019942282,-0.06096052,-0.04622144,-0.0076688584,-0.002126247,-0.016722856,-0.07187301,0.13062151,-0.13350855,-0.1622531,-0.0043945326,28.056198,0.1,0.19060333,0.18755002,0.113208495,0.083566844,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565246239,565245457,68467874,59.396201899999994,24.6605964,2.326755,-1.2743692,-2.5772412,-0.021752972,-0.012412676,-0.03908609,-0.028650645,0.01946402,-0.061913706,-0.047405332,-0.0076688584,-0.002126247,-0.016722856,0.13463484,0.1031477,-0.08556017,-0.1622061,-0.0043945326,28.056198,0.1,0.19136488,0.18813562,0.11364206,0.083774455,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
