timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
564743631,562792889,1948557,1949016,4356,0
565019095,563068350,1946130,1949006,9217,0
565119039,563168518,1945924,1948997,9184,0
565216802,563266340,1945931,1948987,9051,0
565320786,563368767,1946753,1948987,10523,0
565421607,563468720,1947261,1948987,11245,0
565512021,563561657,1949099,1948986,2519,0
565608824,563658455,1949539,1948987,1648,0
565718976,563768397,1945459,1948987,10225,0
565821662,563870973,1945520,1948987,10332,0
565919339,563968908,1946023,1948978,8805,0
566024872,564073238,1944696,1948978,13775,0
566112003,564161444,1948740,1948976,3627,0
566208852,564258370,1949652,1948978,1650,0
566317386,564365897,1946390,1948978,10189,0
566417381,564465655,1947035,1948971,9371,0
566512940,564561698,1948710,1948970,5047,0
566617736,564666658,1946330,1948961,9486,0
566721079,564769253,1946756,1948961,10133,0
566819410,564867818,1946328,1948961,10520,0
566918811,564967825,1946023,1948951,9916,0
567019292,565068949,1946382,1948943,7912,0
567115541,565165226,1948927,1948942,2766,0
567210092,565259588,1948911,1948941,3174,0
567319061,565367490,1946812,1948934,9508,0
567424188,565473791,1943020,1948934,14745,0
567516291,565564482,1948115,1948931,7373,0
567621049,565669861,1946804,1948924,8757,0
567720060,565768536,1948380,1948921,6278,0
567815003,565864299,1949837,1948923,1719,0
567920793,565968309,1947268,1948923,10423,0
568017907,566067504,1946988,1948916,6819,0
568111691,566159798,1950463,1948920,2850,0
568210808,566259846,1949139,1948920,3636,0
568312454,566361763,1948915,1948919,3539,0
568431726,566477965,1944142,1948919,19232,0
568520881,566570472,1944359,1948919,12091,0
568617243,566665036,1947563,1948914,9278,0
568719584,566766993,1947572,1948914,10032,0
568816084,566862458,1949954,1948917,7333,0
568915245,566961944,1949583,1948918,7426,0
569013715,567060302,1951112,1948924,4592,0
569114961,567163361,1949252,1948924,4685,0
569213825,567262711,1948748,1948922,4718,0
569310270,567359345,1949313,1948923,3207,0
569422931,567471800,1944286,1948923,13684,0
569513552,567562084,1949688,1948924,3550,0
569619554,567668917,1946495,1948916,8273,0
