timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
564941942,564941387,-0.7135645,0.1914825,-9.8333025
564946862,564946391,-0.7149645,0.18862073,-9.835439
564951933,564951400,-0.71379465,0.17775372,-9.840119
564956821,564956409,-0.7597064,0.17393306,-9.832344
564961848,564961419,-0.69248474,0.23300621,-9.830473
564966853,564966429,-0.6839451,0.21058334,-9.856981
564971890,564971438,-0.7658452,0.10495885,-9.806319
564976947,564976448,-0.70614165,0.12738329,-9.804009
564981977,564981458,-0.6898303,0.13267075,-9.819205
564986893,564986467,-0.6557894,0.09675941,-9.830555
564991914,564991477,-0.6402598,0.2707867,-9.810985
564996920,564996487,-0.8491294,0.39319372,-9.778679
565001925,565001496,-0.8937533,0.19181402,-9.897348
565006944,565006506,-0.78392303,0.21931759,-9.848708
565012049,565011515,-0.70927006,0.22271378,-9.923486
565017069,565016525,-0.6093821,0.071486644,-9.962146
565022010,565021535,-0.7749474,0.11357422,-9.697825
565027052,565026544,-0.72297895,0.15803595,-9.772312
565032117,565031554,-0.4939611,-0.047603197,-9.874094
565037041,565036564,-0.7312863,0.1091075,-9.786598
565042007,565041573,-0.8229568,0.22915886,-9.818388
565047004,565046583,-0.68208015,0.26260623,-9.779717
565052102,565051593,-0.81108856,0.24901018,-9.806752
565057029,565056602,-0.87068367,0.24670565,-9.953359
565062036,565061612,-0.7408187,0.30927223,-9.95445
565067055,565066621,-0.6460573,0.16614409,-9.801021
565072051,565071631,-0.6791149,0.034400694,-9.748783
565077100,565076641,-0.66057086,0.11620927,-9.812973
565082132,565081650,-0.70068777,0.10024035,-9.804902
565087076,565086660,-0.7537177,0.17320316,-9.744092
565092117,565091669,-0.64999855,0.09794185,-9.844982
565097100,565096682,-0.6729368,0.23126553,-9.910279
565102105,565101689,-0.7526815,0.30226418,-9.941289
565107150,565106707,-0.7586086,0.2218023,-9.861118
565112209,565111708,-0.77735794,0.24832113,-9.780511
565117247,565116719,-0.777592,0.106745705,-9.823274
565122230,565121727,-0.72711,0.16205359,-9.886201
565127242,565126737,-0.6998649,0.14148839,-9.808603
565132199,565131746,-0.6792613,0.08807674,-9.747038
565137178,565136756,-0.6642933,0.13066824,-9.783154
565142179,565141767,-0.66915596,0.1511836,-9.819689
565147187,565146775,-0.76388663,0.29639035,-9.775025
565152195,565151785,-0.83405036,0.2164015,-9.827927
565157214,565156795,-0.7246944,0.21378335,-9.893849
565162221,565161805,-0.749373,0.23026489,-9.856564
565167244,565166814,-0.84199494,0.25909558,-9.86037
565172275,565171824,-0.7411402,0.17954707,-9.807552
565177337,565176833,-0.5868865,0.09838868,-9.820301
565182262,565181849,-0.6868606,0.12608075,-9.771786
565187268,565186853,-0.7720363,0.100899205,-9.79094
565192290,565191862,-0.7555556,0.18687789,-9.848527
565197312,565196872,-0.6932296,0.1609773,-9.809197
565202322,565201882,-0.7261,0.20005213,-9.841861
565207336,565206891,-0.80280656,0.19517368,-9.873571
565212414,565211901,-0.6568188,0.20038544,-9.870414
565217408,565216910,-0.66632843,0.22733635,-9.805098
565222398,565221920,-0.7412039,0.19716276,-9.831206
565227479,565226930,-0.724055,0.15582834,-9.733255
565232417,565231939,-0.7054286,0.16137476,-9.797177
565237359,565236951,-0.7328392,0.21652374,-9.833275
565242439,565241958,-0.7484116,0.16353194,-9.855144
565247373,565246968,-0.6983508,0.18848357,-9.885119
565252404,565251978,-0.6994548,0.18812847,-9.914521
565257407,565256989,-0.7955342,0.12803176,-9.911935
565262414,565261998,-0.7500598,0.2225844,-9.9019785
565267485,565267007,-0.71717083,0.17345507,-9.865051
565272445,565272016,-0.7226958,0.18682702,-9.852387
565277531,565277026,-0.724429,0.1661652,-9.853927
565282501,565282035,-0.73085916,0.1933525,-9.848885
565287556,565287046,-0.7148375,0.16559288,-9.900796
565292560,565292055,-0.7410021,0.21688598,-9.904317
565297509,565297064,-0.71728057,0.19612134,-9.84959
565302551,565302075,-0.7008784,0.22063012,-9.890268
565307551,565307084,-0.6909572,0.19141215,-9.865175
565312636,565312094,-0.732363,0.20715035,-9.904639
565317658,565317103,-0.7564002,0.16902983,-9.862379
565322533,565322112,-0.74193484,0.17898647,-9.911784
565327543,565327122,-0.7241197,0.13947897,-9.8225565
565332538,565332134,-0.69881785,0.1777269,-9.91377
565337555,565337141,-0.7072138,0.12891553,-9.852863
565342564,565342151,-0.711459,0.18360412,-9.907287
565347668,565347161,-0.74259114,0.18491639,-9.796215
565352646,565352170,-0.76081145,0.1764147,-9.853154
565357663,565357180,-0.7499688,0.28088453,-9.895679
565362592,565362189,-0.66343564,0.1998641,-9.919883
565367618,565367199,-0.68908167,0.24026375,-9.957781
565372664,565372209,-0.7110505,0.18532826,-9.875629
565377694,565377219,-0.7297153,0.15367971,-9.877753
565382661,565382228,-0.79314846,0.11709914,-9.923706
565387674,565387238,-0.82694834,0.15418136,-9.827995
565392711,565392247,-0.6038325,0.14608476,-9.946982
565397677,565397257,-0.63284916,0.19363129,-9.844171
