timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
564902212,0,1720616861625383,0,593962227,246605740,23624,42212,0.106000006,0.71425503,0.13100001,0.261,0.62,1.17,85,24,0.004,0.004,0.002,-0.010000001,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
564972730,0,1720616861750383,0,593962226,246605742,23629,42217,0.067,0.7142552,0.13100001,0.261,0.62,1.17,85,24,0.013,0.011000001,0.0050000004,0.0,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565092842,0,1720616861875383,0,593962226,246605742,23646,42234,0.086,0.7142554,0.13100001,0.261,0.62,1.17,85,21,0.021000002,-0.014,0.016,0.009000001,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565260696,0,1720616862000383,0,593962225,246605742,23651,42239,0.09,0.7142555,0.13100001,0.261,0.62,1.17,85,21,0.017,-0.006,-0.016,0.013,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565345820,0,1720616862125383,0,593962224,246605743,23658,42247,0.109000005,0.71425575,0.13100001,0.261,0.62,1.17,85,21,0.013,0.001,0.013,-0.022000002,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565475786,0,1720616862250383,0,593962224,246605742,23663,42251,0.085,0.71425605,0.13100001,0.261,0.62,1.17,85,21,0.029000001,-0.017,-0.024,0.017,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565597698,0,1720616862375383,0,593962224,246605743,23680,42268,0.079,0.7142562,0.13100001,0.261,0.62,1.17,85,21,0.021000002,0.009000001,0.019000001,0.012,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565721700,0,1720616862500383,0,593962224,246605743,23679,42267,0.116000004,0.71425664,0.13100001,0.261,0.62,1.17,85,21,0.020000001,-0.014,0.014,0.027,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565844062,0,1720616862625383,0,593962224,246605743,23682,42270,0.081,0.71425676,0.13100001,0.261,0.62,1.17,85,21,0.008,-0.001,-0.008,-0.008,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
565969738,0,1720616862750383,0,593962224,246605743,23669,42257,0.117000006,0.7142571,0.13100001,0.261,0.61,1.13,85,21,0.030000001,-0.016,0.026,0.046000004,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
