timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
564944480,564943965,2490386,2490386,-9.54267e-06,1.4623811e-05,8.0906375e-06,-0.0037229138,0.0009027369,-0.048921578,4943,4943,0,0,1,1
564949439,564948907,2490386,2490386,-7.250265e-06,1.4553449e-05,8.187796e-06,-0.003622281,0.0007375605,-0.049023714,4942,4942,0,0,1,1
564954345,564953849,2490386,2490386,-1.2674619e-05,1.7096016e-05,7.854343e-06,-0.0037495329,0.00084935187,-0.048984263,4942,4942,0,0,1,1
564959101,564958792,2490386,2490386,-9.922074e-06,2.2250293e-05,6.100083e-07,-0.0034921588,0.000897582,-0.048904758,4943,4943,0,0,1,1
564964095,564963735,2490386,2490386,-2.591827e-05,-6.082808e-07,-5.9964346e-05,-0.0036506378,0.0012476059,-0.048888393,4943,4943,0,0,1,1
564969085,564968678,2490386,2490386,-2.1500657e-05,1.7606926e-05,-2.6524494e-05,-0.0040765484,0.00011614902,-0.04869703,4943,4943,0,0,1,1
564974795,564973619,2490386,2490386,-1.286333e-05,1.6535852e-05,3.0428588e-05,-0.0033747335,0.0008471244,-0.048682023,4941,4941,0,0,1,1
564978922,564978562,2490386,2490386,3.2332282e-05,-1.1971625e-05,9.558202e-05,-0.0030003416,0.00081478787,-0.049048323,4943,4943,0,0,1,1
564984616,564983504,2490386,2490386,1.3291506e-05,8.636685e-06,0.00015657276,-0.003634477,0.0010194975,-0.048564345,4942,4942,0,0,1,1
564988735,564988446,2490386,2490386,1.4288626e-05,-4.7089365e-05,0.00021463128,-0.0026772136,-0.000429313,-0.048420183,4942,4942,0,0,1,1
564994442,564993389,2490386,2490386,5.015542e-05,7.0308733e-06,9.825966e-05,-0.0048394497,0.002862701,-0.04899986,4943,4943,0,0,1,1
564998682,564998331,2490386,2490386,-5.797031e-05,7.3139716e-05,-5.464807e-05,-0.0055519887,0.0009708224,-0.050026447,4942,4942,0,0,1,1
565004431,565003274,2490386,2490386,-3.4415898e-05,-3.9973343e-06,-0.00017327661,-0.0035810925,0.0009515865,-0.047885984,4943,4943,0,0,1,1
565008615,565008216,2490386,2490386,-9.8671626e-05,0.00012704606,-0.00026440097,-0.0033843548,0.00093937106,-0.049464583,4942,4942,0,0,1,1
565014979,565013158,2490386,2490386,-5.0848208e-05,1.26323475e-05,-0.0002324734,-0.0025658063,0.0004258863,-0.049840532,4942,4942,0,0,1,1
565018650,565018101,2490386,2490386,2.6563794e-05,-2.015918e-05,-0.00010003016,-0.0037943535,0.00051502534,-0.0474835,4943,4943,0,0,1,1
565024181,565023043,2490386,2490386,-9.141637e-05,0.00010275319,1.284577e-05,-0.004612232,0.0015501163,-0.047873076,4942,4942,0,0,1,1
565028726,565027986,2490386,2490386,2.9272198e-06,-5.2298365e-05,0.00013152097,-0.001086998,-0.00048297236,-0.0508236,4943,4943,0,0,1,1
565034539,565032928,2490386,2490386,0.00010672233,-1.4378849e-05,0.00020886883,-0.0035362528,0.0005041362,-0.04852073,4942,4942,0,0,1,1
565038710,565037871,2490386,2490386,-9.425521e-06,5.1578605e-05,0.00021099547,-0.0055956114,0.0013584106,-0.048201308,4943,4943,0,0,1,1
565044851,565042814,2490386,2490386,2.4493472e-06,-4.1565963e-05,0.00011842148,-0.0032480129,0.00060638983,-0.049397368,4943,4943,0,0,1,1
565048530,565047755,2490386,2490386,2.086596e-05,2.6520023e-05,4.7717596e-05,-0.0035228247,0.0010200628,-0.047858987,4941,4941,0,0,1,1
565054542,565052698,2490386,2490386,1.0850644e-06,5.0544422e-05,-6.333016e-05,-0.0048703505,0.0011771761,-0.04957557,4943,4943,0,0,1,1
565057950,565057640,2490386,2490386,-5.9419046e-05,5.2968462e-05,-0.00012882856,-0.0041208407,0.0019796987,-0.04974502,4942,4942,0,0,1,1
565062910,565062582,2490386,2490386,-7.910531e-05,5.340657e-05,-0.0001473628,-0.0030108364,0.0009650514,-0.048070345,4942,4942,0,0,1,1
