timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
564943945,564942637,68339896,59.396201899999994,24.6605965,2.338156,-1.3193864,-2.3802004,-0.022485403,-0.0058500394,-0.06750712,-0.023101142,-0.027668508,-0.037425105,-0.049404763,0.037437953,0.037413422,0.009335578,0.0023901633,-0.031359266,0.0002521391,-0.15271796,-0.01406361,28.05643,0.1,0.18731308,0.18485852,0.111520916,0.0823908,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564953624,564952652,68339896,59.396201899999994,24.6605965,2.3379128,-1.3192545,-2.380831,-0.022485403,-0.0058500394,-0.06750712,-0.023125734,-0.027687574,-0.038036197,-0.050149135,0.037437953,0.037413422,0.009335578,-0.012595702,-0.03379936,-0.066510364,-0.15271764,-0.01406361,28.05643,0.1,0.18806289,0.18543836,0.111962765,0.0825993,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564963711,564962672,68339896,59.396201899999994,24.6605965,2.337673,-1.3191398,-2.38146,-0.022485403,-0.0058500394,-0.06750712,-0.022463927,-0.027701313,-0.03899823,-0.051233582,0.037437953,0.037413422,0.009335578,0.08039604,-0.029219035,-0.11347526,-0.15278576,-0.01406361,28.05643,0.1,0.1888179,0.18602079,0.11240446,0.08280784,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564974464,564972691,68339896,59.396201899999994,24.6605965,2.3374312,-1.3187946,-2.3819227,-0.022485403,-0.0058500394,-0.06750712,-0.02327364,-0.028065983,-0.039672513,-0.05184657,0.037437953,0.037413422,0.009335578,-0.03544278,-0.040648304,-0.058913518,-0.15279488,-0.01406361,28.05643,0.1,0.18052605,0.17999588,0.10748528,0.080551416,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564984133,564982710,68339896,59.396201899999994,24.6605965,2.3371906,-1.318471,-2.3823826,-0.022485403,-0.0058500394,-0.06750712,-0.0229906,-0.027692443,-0.039341424,-0.05145175,0.037437953,0.037413422,0.009335578,-0.024316173,-0.045183245,0.031277917,-0.1525359,-0.01406361,28.05643,0.1,0.1812281,0.18055318,0.10792081,0.08075926,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
564993888,564992730,68339896,59.396201899999994,24.6605965,2.3369558,-1.3181728,-2.3829806,-0.022485403,-0.0058500394,-0.06750712,-0.022609364,-0.026974259,-0.039564397,-0.05175377,0.037437953,0.037413422,0.009335578,-0.0859992,0.41869614,-0.008808733,-0.15224516,-0.01406361,28.05643,0.1,0.18193528,0.18087105,0.10835752,0.08091536,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565003947,565002749,68339896,59.396201899999994,24.6605965,2.3367152,-1.3178883,-2.3835852,-0.022485403,-0.0058500394,-0.06750712,-0.023351522,-0.027290653,-0.040626217,-0.052886073,0.037437953,0.037413422,0.009335578,0.10373145,-0.025342047,0.1303513,-0.15250084,-0.01406361,28.05643,0.1,0.18264756,0.18143274,0.108793676,0.08112335,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565014172,565012770,68339896,59.396201899999994,24.6605965,2.3364847,-1.3176304,-2.3841918,-0.022485403,-0.0058500394,-0.06750712,-0.021836149,-0.028288208,-0.04274501,-0.055067133,0.037437953,0.037413422,0.009335578,0.19059193,-0.18491556,-0.3014925,-0.15301642,-0.01406361,28.05643,0.1,0.18336497,0.18199699,0.10923019,0.08133141,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565023914,565022788,68339896,59.396201899999994,24.6605965,2.3362513,-1.3173909,-2.3847926,-0.022485403,-0.0058500394,-0.06750712,-0.023877416,-0.026810972,-0.04186763,-0.054244146,0.037437953,0.037413422,0.009335578,-0.22621943,0.099691056,0.064197175,-0.15310083,-0.01406361,28.05643,0.1,0.18408753,0.18256381,0.10966843,0.08153955,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
565033905,565032807,68339896,59.396201899999994,24.6605965,2.3360193,-1.3171744,-2.3853884,-0.022485403,-0.0058500394,-0.06750712,-0.022244906,-0.028611986,-0.04261317,-0.05503652,0.037437953,0.037413422,0.009335578,0.02505953,-0.13162513,0.00986382,-0.152772,-0.01406361,28.05643,0.1,0.18481524,0.1831332,0.11010679,0.08174776,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
