,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,564935494,3670026,-0.97300357,0.35913026,-10.117417,-0.01981392,0.0026098979,-0.000958738,55.408813
1,564936751,3670026,-0.8078037,0.21404164,-10.270647,-0.028975192,-0.01571265,-0.0063383235,55.374542
2,564938022,3670026,-0.9911995,0.45825022,-9.587341,-0.03771036,-0.00628506,0.0056991647,55.443085
3,564939278,3670026,-0.896868,0.3145981,-9.859801,-0.0304133,0.003355583,0.0066579026,55.408813
4,564940522,3670026,-1.0208876,0.27964276,-10.406158,-0.022583606,-0.004101268,-0.0068709557,55.4284
5,564941844,3670026,-0.7685388,0.24660277,-9.652943,-0.03286341,-0.010492855,0.0016511598,55.41371
6,564943103,3670026,-1.0998963,0.4180276,-9.854534,-0.041918155,0.00074568513,0.0127831735,55.369644
7,564944280,3670026,-0.89591026,0.34572273,-10.014467,-0.024181502,0.0029827405,0.0016511598,55.35985
8,564945525,3670026,-0.91697925,0.24372974,-10.414778,-0.030306773,-0.016405072,-0.004101268,55.369644
9,564946784,3670026,-0.93565404,0.39839518,-9.491573,-0.039254993,-0.00644485,0.0028229507,55.34027
10,564948024,3670026,-0.9581595,0.27724856,-9.97185,-0.031318776,0.0029827405,0.010705908,55.403915
11,564949296,3670026,-0.9696517,0.27820623,-10.318051,-0.01901497,-0.005432849,-0.0048469533,55.4284
12,564950592,3670026,-0.7915231,0.25665843,-9.802819,-0.03568636,-0.015765913,-0.00058589544,55.38923
13,564951856,3670026,-1.0817003,0.4204218,-9.735782,-0.040586576,0.0011185276,0.00974717,55.379436
14,564953037,3670026,-0.9873688,0.34859577,-10.114066,-0.02545982,0.0002663161,0.0002663161,55.350063
15,564956788,3670026,-0.73166806,0.73214686,-9.740091,-0.03787015,0.013741911,0.0002663161,55.354958
16,564960564,3670026,-1.4408306,0.8149863,-9.706573,-0.04527374,-0.007669904,-0.010652645,55.433292
17,564963068,3670026,-0.8686164,0.59136784,-10.544543,-0.048203215,-0.011877699,-0.01688444,55.452877
18,564966820,3670026,-1.295742,0.01388637,-10.031705,-0.02396845,-0.0027164244,-0.0025566346,55.41371
