i,timestamp(ns),gain,exposure(ns),format,height,width,frame_id,reserved
0,559796341601,41,2246604,1,1080,1920,15140,0
1,559896197601,41,2246604,1,1080,1920,15143,0
2,559996033601,41,2246604,1,1080,1920,15146,0
3,560095881601,41,2246604,1,1080,1920,15149,0
4,560195767601,41,2246604,1,1080,1920,15152,0
5,560295583601,41,2246604,1,1080,1920,15155,0
6,560395425601,41,2246604,1,1080,1920,15158,0
7,560495276601,41,2246604,1,1080,1920,15161,0
8,560595128601,41,2246604,1,1080,1920,15164,0
9,560694968601,41,2246604,1,1080,1920,15167,0
10,560794816601,41,2246604,1,1080,1920,15170,0
11,560894667601,41,2246604,1,1080,1920,15173,0
12,560994529601,41,2246604,1,1080,1920,15176,0
13,561094361601,41,2246604,1,1080,1920,15179,0
14,561194207601,41,2246604,1,1080,1920,15182,0
15,561294051601,41,2246604,1,1080,1920,15185,0
16,561393899601,41,2246604,1,1080,1920,15188,0
17,561493817601,41,2246604,1,1080,1920,15191,0
18,561593598601,41,2246604,1,1080,1920,15194,0
19,561693441601,41,2246604,1,1080,1920,15197,0
20,561793291601,41,2246604,1,1080,1920,15200,0
21,561893144601,41,2246604,1,1080,1920,15203,0
22,561992989601,41,2246604,1,1080,1920,15206,0
23,562092841601,41,2246604,1,1080,1920,15209,0
24,562192680601,41,2246604,1,1080,1920,15212,0
25,562292533601,41,2246604,1,1080,1920,15215,0
26,562425668601,41,2246604,1,1080,1920,15218,0
27,562525506601,41,2246604,1,1080,1920,15221,0
28,562625352601,41,2246604,1,1080,1920,15224,0
29,562725202601,41,2246604,1,1080,1920,15227,0
30,562825053601,41,2246604,1,1080,1920,15230,0
31,562924896601,41,2246604,1,1080,1920,15233,0
32,563024744601,41,2246604,1,1080,1920,15236,0
33,563124602601,41,2246604,1,1080,1920,15239,0
34,563224439601,41,2246604,1,1080,1920,15242,0
35,563324305601,41,2246604,1,1080,1920,15245,0
36,563424136601,41,2246604,1,1080,1920,15248,0
37,563523979601,41,2246604,1,1080,1920,15251,0
38,563623830601,41,2246604,1,1080,1920,15254,0
39,563723677601,41,2246604,1,1080,1920,15257,0
40,563823524601,41,2246604,1,1080,1920,15260,0
41,563923401601,41,2246604,1,1080,1920,15263,0
42,564023224601,41,2246604,1,1080,1920,15266,0
43,564123070601,41,2246604,1,1080,1920,15269,0
44,564222920601,41,2246604,1,1080,1920,15272,0
45,564322761601,41,2246604,1,1080,1920,15275,0
46,564422611601,41,2246604,1,1080,1920,15278,0
47,564522455601,41,2246604,1,1080,1920,15281,0
48,564622312601,41,2246604,1,1080,1920,15284,0
49,564722150601,41,2246604,1,1080,1920,15287,0
50,564821997601,41,2246604,1,1080,1920,15290,0
51,564921846601,41,2246604,1,1080,1920,15293,0
52,565021699601,41,2246604,1,1080,1920,15296,0
53,565121535601,41,2246604,1,1080,1920,15299,0
54,565221391601,41,2246604,1,1080,1920,15302,0
55,565321237601,41,2246604,1,1080,1920,15305,0
56,565421174747,41,2173458,1,1080,1920,15308,0
57,565521199835,41,1985370,1,1080,1920,15311,0
58,565621155777,41,1870428,1,1080,1920,15314,0
59,565754288777,41,1870428,1,1080,1920,15317,0
60,565854134777,41,1870428,1,1080,1920,15320,0
61,565953980777,41,1870428,1,1080,1920,15323,0
62,566053830777,41,1870428,1,1080,1920,15326,0
63,566153680777,41,1870428,1,1080,1920,15329,0
64,566253521777,41,1870428,1,1080,1920,15332,0
65,566353368777,41,1870428,1,1080,1920,15335,0
66,566453217777,41,1870428,1,1080,1920,15338,0
67,566586347777,41,1870428,1,1080,1920,15341,0
68,566686205777,41,1870428,1,1080,1920,15344,0
69,566786041777,41,1870428,1,1080,1920,15347,0
70,566885893777,41,1870428,1,1080,1920,15350,0
71,566985744777,41,1870428,1,1080,1920,15353,0
72,567085586777,41,1870428,1,1080,1920,15356,0
73,567185431777,41,1870428,1,1080,1920,15359,0
74,567285276777,41,1870428,1,1080,1920,15362,0
75,567385130777,41,1870428,1,1080,1920,15365,0
76,567484972777,41,1870428,1,1080,1920,15368,0
77,567584821777,41,1870428,1,1080,1920,15371,0
78,567684670777,41,1870428,1,1080,1920,15374,0
79,567784521777,41,1870428,1,1080,1920,15377,0
80,567884369777,41,1870428,1,1080,1920,15380,0
81,567984216777,41,1870428,1,1080,1920,15383,0
82,568084064777,41,1870428,1,1080,1920,15386,0
83,568183906777,41,1870428,1,1080,1920,15389,0
84,568283756777,41,1870428,1,1080,1920,15392,0
85,568383611777,41,1870428,1,1080,1920,15395,0
86,568483535024,41,1818181,1,1080,1920,15398,0
87,568583352024,41,1818181,1,1080,1920,15401,0
88,568683195024,41,1818181,1,1080,1920,15404,0
89,568783047024,41,1818181,1,1080,1920,15407,0
90,568882896024,41,1818181,1,1080,1920,15410,0
91,568982739024,41,1818181,1,1080,1920,15413,0
92,569082639270,41,1765935,1,1080,1920,15416,0
93,569182490270,41,1765935,1,1080,1920,15419,0
94,569282334270,41,1765935,1,1080,1920,15422,0
95,569382189270,41,1765935,1,1080,1920,15425,0
96,569482032270,41,1765935,1,1080,1920,15428,0
97,569581881270,41,1765935,1,1080,1920,15431,0
98,569681722270,41,1765935,1,1080,1920,15434,0
99,569781657517,41,1713688,1,1080,1920,15437,0
