i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,559602477166,-0.96204,0.21795,-9.78177,0.00020,0.00089,0.00195,53.76
1,559603472934,-0.97159,0.24186,-9.79615,0.00047,0.00009,0.00155,53.76
2,559604468702,-0.96682,0.24665,-9.80095,0.00020,-0.00084,0.00142,53.76
3,559605464470,-0.95248,0.22273,-9.78656,-0.00046,-0.00124,0.00155,53.76
4,559606460238,-0.94770,0.19403,-9.77697,-0.00073,-0.00137,0.00155,53.76
5,559607456006,-0.96204,0.20359,-9.77697,-0.00020,-0.00137,0.00115,53.76
6,559608451774,-0.97159,0.22751,-9.79136,0.00007,-0.00137,0.00048,53.76
7,559609447542,-0.96682,0.23230,-9.79615,-0.00020,-0.00111,0.00048,53.77
8,559610443310,-0.95726,0.20838,-9.78177,-0.00060,-0.00017,0.00075,53.77
9,559611439078,-0.95726,0.19403,-9.77697,-0.00073,0.00076,0.00115,53.77
10,559612433067,-0.97159,0.21316,-9.78177,-0.00033,0.00169,0.00128,53.77
11,559613427051,-0.97637,0.23708,-9.79615,-0.00006,0.00222,0.00155,53.77
12,559614421035,-0.96204,0.23708,-9.79615,-0.00033,0.00262,0.00208,53.77
13,559615415019,-0.94292,0.20359,-9.78177,-0.00060,0.00302,0.00262,53.77
14,559616409003,-0.94770,0.19403,-9.77697,-0.00060,0.00302,0.00262,53.77
15,559617402987,-0.96204,0.21795,-9.79136,-0.00033,0.00236,0.00208,53.78
16,559618396971,-0.96682,0.23708,-9.80095,-0.00046,0.00129,0.00195,53.78
17,559619390955,-0.95248,0.22751,-9.80095,-0.00113,0.00049,0.00208,53.78
18,559620384939,-0.94292,0.20359,-9.78656,-0.00153,0.00022,0.00235,53.78
19,559621378923,-0.95248,0.19881,-9.78177,-0.00126,0.00022,0.00235,53.78
20,559622372907,-0.97159,0.22751,-9.79136,-0.00060,0.00009,0.00195,53.78
21,559623367812,-0.97159,0.24665,-9.79615,-0.00046,-0.00017,0.00155,53.78
22,559624362714,-0.95248,0.22751,-9.78656,-0.00060,-0.00017,0.00142,53.78
23,559625357616,-0.94292,0.20359,-9.77218,-0.00046,0.00036,0.00115,53.78
24,559626352518,-0.95726,0.20359,-9.77218,0.00020,0.00102,0.00062,53.78
25,559627347420,-0.97607,0.22781,-9.78177,0.00073,0.00142,0.00009,53.78
26,559628342322,-0.97607,0.23738,-9.79136,0.00060,0.00169,0.00009,53.77
27,559629337224,-0.95726,0.21795,-9.78177,-0.00020,0.00196,0.00048,53.77
28,559630332126,-0.95248,0.19881,-9.77218,-0.00060,0.00209,0.00102,53.77
29,559631327028,-0.96204,0.20838,-9.77218,-0.00060,0.00169,0.00115,53.77
30,559632321930,-0.97159,0.23708,-9.79136,-0.00060,0.00076,0.00142,53.77
31,559633316569,-0.96204,0.23708,-9.79615,-0.00113,-0.00004,0.00168,53.77
32,559634311204,-0.94770,0.21316,-9.78656,-0.00153,-0.00057,0.00208,53.77
33,559635305839,-0.94770,0.19403,-9.78177,-0.00140,-0.00084,0.00208,53.77
34,559636300474,-0.96682,0.20838,-9.78656,-0.00060,-0.00097,0.00168,53.77
35,559637295109,-0.97637,0.23230,-9.80095,-0.00020,-0.00124,0.00142,53.77
