i,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad),vel_imu_wrt_vio_x(m/s),vel_imu_wrt_vio_y(m/s),vel_imu_wrt_vio_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s),gravity_vector_x(m/s2),gravity_vector_y(m/s2),gravity_vector_z(m/s2),T_cam_wrt_imu_x(m),T_cam_wrt_imu_y(m),T_cam_wrt_imu_z(m),imu_to_cam_roll_x(rad),imu_to_cam_pitch_y(rad),imu_to_cam_yaw_z(rad),features,quality,state,error_code
0,559643262919,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,0.000,0.002,-0.001,0.518,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
1,559682980596,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,0.000,0.001,-0.000,0.518,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
2,559712770436,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,-0.000,-0.000,0.001,0.518,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
3,559742574006,-0.0003,-0.0008,-0.0003,-0.0042,0.0032,0.0020,-0.001,-0.002,0.005,-0.000,-0.001,0.000,0.518,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
4,559782336070,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,-0.001,-0.001,0.000,0.518,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
5,559812170179,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,0.000,0.000,-0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
6,559842964529,-0.0002,-0.0009,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,-0.002,-0.002,-0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
7,559884566796,-0.0001,-0.0009,-0.0002,-0.0042,0.0032,0.0019,-0.000,-0.002,0.006,-0.000,0.001,0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
8,559914270185,-0.0002,-0.0008,-0.0002,-0.0042,0.0032,0.0019,-0.001,-0.002,0.005,-0.001,0.000,-0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
9,559943996247,-0.0002,-0.0008,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.002,0.005,-0.001,-0.000,-0.001,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
10,559983644267,-0.0002,-0.0008,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.002,0.005,-0.000,0.002,0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
11,560013408019,-0.0002,-0.0009,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.003,0.005,0.000,0.002,-0.000,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
12,560043193478,-0.0002,-0.0009,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.003,0.005,0.001,0.003,-0.001,0.519,-0.832,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
13,560082910232,-0.0002,-0.0009,-0.0002,-0.0042,0.0033,0.0019,-0.001,-0.003,0.005,0.000,-0.001,0.000,0.519,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
14,560114657330,-0.0002,-0.0009,-0.0002,-0.0042,0.0033,0.0019,-0.001,-0.002,0.004,-0.001,-0.001,0.000,0.519,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
15,560144358789,-0.0002,-0.0009,-0.0002,-0.0042,0.0033,0.0019,-0.001,-0.002,0.004,0.000,0.001,-0.001,0.520,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
16,560183980759,-0.0002,-0.0009,-0.0002,-0.0042,0.0033,0.0018,-0.001,-0.002,0.004,-0.000,-0.001,-0.000,0.520,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
17,560213722100,-0.0002,-0.0009,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.002,0.003,-0.001,-0.002,-0.000,0.520,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
18,560243488089,-0.0003,-0.0008,-0.0003,-0.0042,0.0033,0.0019,-0.001,-0.002,0.002,0.000,-0.000,-0.001,0.520,-0.833,9.754,0.065,-0.014,0.013,-0.010,0.652,1.586,15,100,2,0
