i,timestamp(ns),gain,exposure(ns),format,height,width,frame_id,reserved
0,559697110997,100,38669,2,480,640,16500,0
1,559797094997,100,38669,2,480,640,16503,0
2,559897078997,100,38669,2,480,640,16506,0
3,559997061997,100,38669,2,480,640,16509,0
4,560097044997,100,38669,2,480,640,16512,0
5,560197022997,100,38669,2,480,640,16515,0
6,560297029997,100,38669,2,480,640,16518,0
7,560396987997,100,38669,2,480,640,16521,0
8,560496970997,100,38669,2,480,640,16524,0
9,560596961997,100,38669,2,480,640,16527,0
10,560696940997,100,38669,2,480,640,16530,0
11,560796923997,100,38669,2,480,640,16533,0
12,560896909997,100,38669,2,480,640,16536,0
13,560996904997,100,38669,2,480,640,16539,0
14,561096880997,100,38669,2,480,640,16542,0
15,561196855997,100,38669,2,480,640,16545,0
16,561296844997,100,38669,2,480,640,16548,0
17,561396827997,100,38669,2,480,640,16551,0
18,561496820997,100,38669,2,480,640,16554,0
19,561596805997,100,38669,2,480,640,16557,0
20,561696782997,100,38669,2,480,640,16560,0
21,561796767997,100,38669,2,480,640,16563,0
22,561896747997,100,38669,2,480,640,16566,0
23,561996729997,100,38669,2,480,640,16569,0
24,562096714997,100,38669,2,480,640,16572,0
25,562196698997,100,38669,2,480,640,16575,0
26,562296685997,100,38669,2,480,640,16578,0
27,562396713997,100,38669,2,480,640,16581,0
28,562496662997,100,38669,2,480,640,16584,0
29,562596636997,100,38669,2,480,640,16587,0
30,562696664997,100,38669,2,480,640,16590,0
31,562796614997,100,38669,2,480,640,16593,0
32,562896585997,100,38669,2,480,640,16596,0
33,562996561997,100,38669,2,480,640,16599,0
34,563096580997,100,38669,2,480,640,16602,0
35,563196526997,100,38669,2,480,640,16605,0
36,563296511997,100,38669,2,480,640,16608,0
37,563396507997,100,38669,2,480,640,16611,0
38,563496484997,100,38669,2,480,640,16614,0
39,563596467997,100,38669,2,480,640,16617,0
40,563696445997,100,38669,2,480,640,16620,0
41,563796431997,100,38669,2,480,640,16623,0
42,563896426997,100,38669,2,480,640,16626,0
43,563996477997,100,38669,2,480,640,16629,0
44,564096389997,100,38669,2,480,640,16632,0
45,564196370997,100,38669,2,480,640,16635,0
46,564296370997,100,38669,2,480,640,16638,0
47,564396336997,100,38669,2,480,640,16641,0
48,564496315997,100,38669,2,480,640,16644,0
49,564596339997,100,38669,2,480,640,16647,0
50,564696286997,100,38669,2,480,640,16650,0
51,564796266997,100,38669,2,480,640,16653,0
52,564896257997,100,38669,2,480,640,16656,0
53,564996234997,100,38669,2,480,640,16659,0
54,565096220997,100,38669,2,480,640,16662,0
55,565196204997,100,38669,2,480,640,16665,0
56,565296190997,100,38669,2,480,640,16668,0
57,565396185997,100,38669,2,480,640,16671,0
58,565496165997,100,38669,2,480,640,16674,0
59,565596138997,100,38669,2,480,640,16677,0
60,565696115997,100,38669,2,480,640,16680,0
61,565796108997,100,38669,2,480,640,16683,0
62,565896082997,100,38669,2,480,640,16686,0
63,565996118997,100,38669,2,480,640,16689,0
64,566096057997,100,38669,2,480,640,16692,0
65,566196034997,100,38669,2,480,640,16695,0
66,566296019997,100,38669,2,480,640,16698,0
67,566396007997,100,38669,2,480,640,16701,0
68,566496042997,100,38669,2,480,640,16704,0
69,566595998997,100,38669,2,480,640,16707,0
70,566695958997,100,38669,2,480,640,16710,0
71,566795940997,100,38669,2,480,640,16713,0
72,566895918997,100,38669,2,480,640,16716,0
73,566995906997,100,38669,2,480,640,16719,0
74,567095890997,100,38669,2,480,640,16722,0
75,567195876997,100,38669,2,480,640,16725,0
76,567295860997,100,38669,2,480,640,16728,0
77,567395836997,100,38669,2,480,640,16731,0
78,567495851997,100,38669,2,480,640,16734,0
79,567595807997,100,38669,2,480,640,16737,0
80,567695803997,100,38669,2,480,640,16740,0
81,567795779997,100,38669,2,480,640,16743,0
82,567895768997,100,38669,2,480,640,16746,0
83,567995739997,100,38669,2,480,640,16749,0
84,568095728997,100,38669,2,480,640,16752,0
85,568195715997,100,38669,2,480,640,16755,0
86,568295697997,100,38669,2,480,640,16758,0
87,568395730997,100,38669,2,480,640,16761,0
88,568495651997,100,38669,2,480,640,16764,0
89,568628970997,100,38669,2,480,640,16767,0
90,568728953997,100,38669,2,480,640,16770,0
91,568828938997,100,38669,2,480,640,16773,0
92,568928926997,100,38669,2,480,640,16776,0
93,569028900997,100,38669,2,480,640,16779,0
94,569128882997,100,38669,2,480,640,16782,0
95,569228887997,100,38669,2,480,640,16785,0
96,569328856997,100,38669,2,480,640,16788,0
97,569428837997,100,38669,2,480,640,16791,0
98,569528831997,100,38669,2,480,640,16794,0
99,569628803997,100,38669,2,480,640,16797,0
