i,timestamp(ns),T_ch_wrt_par_x(m),T_ch_wrt_par_y(m),T_ch_wrt_par_z(m),roll(rad),pitch(rad),yaw(rad),vel_ch_wrt_par_x(m/s),vel_ch_wrt_par_y(m/s),vel_ch_wrt_par_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s)
0,559643262919,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.001,0.005,0.000,0.002,-0.001,
1,559682980596,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.001,0.005,0.000,0.001,-0.000,
2,559712770436,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.002,-0.001,0.005,-0.000,-0.000,0.001,
3,559742574006,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.002,-0.001,0.005,-0.000,-0.001,0.000,
4,559782336070,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.001,0.006,-0.001,-0.001,0.000,
5,559812170179,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.006,0.000,0.000,-0.000,
6,559842964529,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,-0.002,-0.002,-0.000,
7,559884566796,-0.000,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.006,-0.000,0.001,0.000,
8,559914270185,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,-0.001,0.000,-0.000,
9,559943996247,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,-0.001,-0.000,-0.001,
10,559983644267,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,-0.000,0.002,0.000,
11,560013408019,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,0.000,0.002,-0.000,
12,560043193478,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,0.001,0.003,-0.001,
13,560082910232,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,0.000,-0.001,0.000,
14,560114657330,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.005,-0.001,-0.001,0.000,
15,560144358789,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.004,0.000,0.001,-0.001,
16,560183980759,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.004,-0.000,-0.001,-0.000,
17,560213722100,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.003,-0.001,-0.002,-0.000,
18,560243488089,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.002,-0.001,0.003,0.000,-0.000,-0.001,
19,560283204384,-0.001,-0.000,-0.100,-0.089,-0.050,0.004,-0.001,-0.002,0.002,-0.001,0.001,0.001,
20,560312995682,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.002,-0.002,0.001,-0.001,0.000,-0.000,
21,560342794794,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.002,-0.002,0.001,0.001,0.001,-0.000,
22,560383517565,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.001,-0.002,0.001,0.001,0.002,-0.000,
23,560414267540,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.002,-0.002,0.000,-0.001,0.001,-0.000,
24,560443992182,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.002,-0.002,-0.000,-0.000,0.001,-0.001,
25,560483651780,-0.001,-0.000,-0.100,-0.090,-0.050,0.004,-0.002,-0.002,-0.001,0.000,0.001,0.000,
26,560513411742,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.001,-0.000,0.001,-0.000,
27,560543190375,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.001,0.000,0.001,-0.000,
28,560584806013,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.001,0.001,-0.000,-0.001,
29,560614499377,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.001,0.000,-0.000,-0.000,
30,560654129129,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.002,-0.000,-0.001,-0.000,
31,560683866557,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.002,-0.000,-0.001,0.000,
32,560713607505,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.001,-0.001,0.000,
33,560743369305,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.002,-0.001,-0.002,0.000,
34,560783074557,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.001,0.001,-0.000,
35,560813836398,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.000,0.000,-0.001,
36,560846579831,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.001,-0.000,-0.000,
37,560879111321,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.000,-0.001,-0.000,
38,560918384724,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.002,-0.001,-0.001,-0.000,
39,560947864278,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.003,-0.001,-0.000,-0.000,
40,560978431169,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.003,0.000,-0.001,-0.000,
41,561017699169,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.003,-0.001,-0.000,0.000,
42,561047210349,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.003,-0.000,0.001,-0.001,
43,561076723902,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.003,-0.001,-0.001,-0.000,
44,561116107592,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.003,-0.001,0.001,-0.000,
45,561145663602,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.000,0.001,-0.000,
46,561185132761,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.000,-0.001,-0.001,
47,561214743617,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.003,0.000,0.001,-0.001,
48,561247321843,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.000,0.001,0.000,
49,561276807383,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.001,0.002,0.000,
50,561316154708,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.000,-0.001,0.000,
51,561345690384,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.000,0.000,-0.001,
52,561385104064,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.001,-0.001,0.000,
53,561414691225,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.001,0.000,0.000,
54,561444305288,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.001,-0.000,-0.000,
55,561479787663,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.000,0.003,-0.000,
56,561509156282,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.000,0.002,-0.000,
57,561548330554,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.001,-0.002,-0.000,
58,561577796536,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.001,-0.001,-0.001,
59,561617008473,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.003,-0.004,0.000,0.001,0.001,
60,561646523751,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.003,-0.004,0.000,0.001,0.000,
61,561675991660,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.003,-0.001,-0.001,0.000,
62,561715320625,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.000,-0.000,-0.001,
63,561744953623,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.003,-0.001,-0.001,-0.001,
64,561784376384,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.001,0.003,-0.000,
65,561813953975,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.001,0.002,-0.000,
