timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
603054198,32767,32767,32767,32767,32767,32767
603059139,32767,32767,32767,32767,32767,32767
603064079,32767,32767,32767,32767,32767,32767
603069020,32767,32767,32767,32767,32767,-20
603073961,32767,32767,32767,32767,32767,32767
603078902,32767,32767,32767,-31,32767,32767
603083843,32767,32767,32767,32767,32767,32767
603088783,32767,32767,32767,32767,32767,32767
603093724,32767,32767,32767,32767,32767,32767
603098666,32767,32767,32767,32767,32767,32767
603103605,32767,32767,32767,32767,32767,32767
603108546,32767,32767,32767,32767,32767,-12
603113487,32767,32767,32767,32767,32767,32767
603118427,32767,32767,32767,32767,32767,32767
603123368,32767,32767,32767,32767,32767,32767
603128309,32767,32767,32767,32767,-7,32767
603133250,32767,32767,32767,32767,32767,32767
603138195,32767,32767,32767,32767,32767,32767
603143142,32767,32767,32767,32767,32767,-13
603148072,32767,32767,32767,32767,-4,32767
603153013,32767,32767,32767,32767,32767,32767
603157953,32767,32767,32767,32767,32767,32767
603162894,32767,32767,32767,-6,32767,32767
603167835,32767,32767,32767,32767,32767,-18
603172776,32767,32767,32767,32767,32767,32767
603177716,32767,32767,32767,32767,32767,32767
603182657,32767,32767,32767,32767,32767,32767
603187598,32767,32767,32767,32767,32767,32767
603192539,32767,32767,32767,32767,32767,32767
603197479,32767,32767,32767,32767,32767,1
603202420,32767,32767,32767,32767,32767,32767
603207360,32767,32767,32767,-18,32767,32767
603212301,32767,32767,32767,32767,32767,32767
603217242,32767,32767,32767,32767,32767,32767
603222187,32767,32767,32767,32767,32767,32767
603227124,32767,32767,32767,32767,32767,32767
603232064,32767,32767,32767,32767,32767,32767
603237006,32767,32767,32767,32767,32767,32767
603241946,32767,32767,32767,32767,32767,-4
603246887,32767,32767,32767,32767,32767,32767
603251828,32767,32767,32767,32767,32767,32767
603256768,32767,32767,32767,32767,32767,32767
603261709,32767,32767,32767,32767,32767,32767
603266650,32767,32767,32767,32767,32767,32767
603271590,32767,32767,32767,32767,-39,-33
603276531,32767,32767,32767,32767,32767,32767
603281472,32767,32767,32767,32767,32767,32767
603286412,32767,32767,32767,32767,32767,32767
603291354,32767,32767,32767,8,-36,32767
603296294,32767,32767,32767,32767,32767,32767
603301235,32767,32767,32767,32767,32767,32767
603306176,32767,32767,32767,32767,32767,32767
603311117,32767,32767,32767,32767,32767,-4
603316057,32767,32767,32767,32767,32767,32767
603320998,32767,32767,32767,32767,32767,32767
603325938,32767,32767,32767,32767,32767,32767
603330879,32767,32767,32767,32767,32767,32767
603335821,32767,32767,32767,-4,32767,32767
603340777,32767,32767,32767,32767,32767,1
603345701,32767,32767,32767,32767,32767,32767
603350643,32767,32767,32767,32767,32767,32767
603355583,32767,32767,32767,32767,32767,32767
603360524,32767,32767,32767,32767,32767,32767
603365464,32767,32767,32767,32767,32767,32767
603370405,32767,32767,32767,32767,32767,32767
603375346,32767,32767,32767,32767,32767,32767
603380286,32767,32767,32767,32767,32767,-40
603385227,32767,32767,32767,32767,32767,32767
603390168,32767,32767,32767,32767,32767,32767
603395109,32767,32767,32767,32767,32767,32767
603400049,32767,32767,32767,32767,32767,32767
603404990,32767,32767,32767,32767,32767,32767
603409932,32767,32767,32767,32767,-20,-2
603414872,32767,32767,32767,32767,32767,32767
603419813,32767,32767,32767,32767,32767,32767
603424756,32767,32767,32767,-27,32767,32767
603429694,32767,32767,32767,32767,-20,32767
603434635,32767,32767,32767,32767,32767,32767
603439575,32767,32767,32767,32767,32767,32767
603444516,32767,32767,32767,32767,32767,32767
603449457,32767,32767,32767,32767,32767,-27
603454398,32767,32767,32767,32767,32767,32767
603459338,32767,32767,32767,32767,32767,32767
603464279,32767,32767,32767,32767,32767,32767
603469220,32767,32767,32767,-39,32767,-29
603474161,32767,32767,32767,32767,32767,32767
603479107,32767,32767,32767,32767,32767,32767
603484042,32767,32767,32767,32767,32767,32767
603488996,32767,32767,32767,32767,32767,32767
603493923,32767,32767,32767,32767,32767,32767
603498864,32767,32767,32767,32767,32767,32767
603503805,32767,32767,32767,32767,32767,32767
603508746,32767,32767,32767,32767,32767,32767
603513687,32767,32767,32767,32767,32767,32767
603518627,32767,32767,32767,32767,32767,32767
603523568,32767,32767,32767,32767,32767,-29
603528509,32767,32767,32767,32767,32767,32767
603533449,32767,32767,32767,32767,32767,32767
603538390,32767,32767,32767,32767,32767,32767
603543331,32767,32767,32767,32767,32767,-15
