timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
603054025,603053198,168057400,59.3948185,24.6601304,0.10984849,0.15472999,-3.4474013,-0.0148082385,-0.020691883,0.006032414,0.0011135156,-0.02578445,-0.22601968,-0.03487587,0.033442393,-0.032656487,0.17070457,0.019030984,0.31917349,-0.11006974,-1.924355,-2.182619,25.956984,0.10076308,0.24473864,0.25971583,0.118836835,0.09055461,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603064625,603063213,168057400,59.3948185,24.6601304,0.11021892,0.15432829,-3.4472628,-0.0148082385,-0.020691883,0.006032414,0.002256392,-0.025141269,-0.22709465,-0.035426978,0.033442393,-0.032656487,0.17070457,-0.064284526,0.20776284,-0.32014903,-1.9241139,-2.182619,25.956984,0.11289787,0.23675063,0.2544088,0.11392666,0.08843207,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603073836,603073230,168057400,59.3948185,24.6601304,0.11056414,0.15391766,-3.4472234,-0.0148082385,-0.020691883,0.006032414,-0.00011372066,-0.029705035,-0.22669397,-0.034606397,0.033442393,-0.032656487,0.17070457,-0.15710476,-0.4964959,-0.08322578,-1.9246058,-2.182619,25.956984,0.11075306,0.23742594,0.25498015,0.11435887,0.088635296,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603083834,603083245,168057400,59.3948185,24.6601304,0.11089915,0.15351333,-3.447281,-0.0148082385,-0.020691883,0.006032414,0.0022125498,-0.02743232,-0.2274522,-0.03504436,0.033442393,-0.032656487,0.17070457,0.21548781,-0.2637217,0.11363291,-1.9248875,-2.182619,25.956984,0.108691216,0.23810594,0.25555387,0.11479252,0.088838615,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603094358,603093261,168057400,59.3948185,24.6601304,0.1112483,0.15311393,-3.447415,-0.0148082385,-0.020691883,0.006032414,0.0032849638,-0.026726523,-0.22746056,-0.034827903,0.033442393,-0.032656487,0.17070457,-0.118934385,0.2609906,-0.3013494,-1.924482,-2.182619,25.956984,0.10669184,0.23879068,0.25613,0.11522644,0.08904202,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603104333,603103278,168057400,59.3948185,24.6601304,0.11156139,0.15271711,-3.447644,-0.0148082385,-0.020691883,0.006032414,-0.0011045919,-0.02801648,-0.22736908,-0.034603,0.033442393,-0.032656487,0.17070457,-0.36778978,-0.01789205,-0.043142702,-1.9244969,-2.182619,25.956984,0.10477543,0.23948014,0.2567085,0.11565983,0.089245535,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603114305,603113293,168057400,59.3948185,24.6601304,0.11185264,0.15231961,-3.4477832,-0.0148082385,-0.020691883,0.006032414,-0.00022426483,-0.028056351,-0.22879139,-0.03579591,0.033442393,-0.032656487,0.17070457,-0.24923353,0.07278507,0.054801136,-1.9248239,-2.182619,25.956984,0.10723901,0.24017435,0.25659698,0.11609536,0.08934752,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603124180,603123308,168057400,59.3948185,24.6601304,0.11214625,0.15194365,-3.4479992,-0.0148082385,-0.020691883,0.006032414,0.0016523511,-0.026038798,-0.22918293,-0.036049895,0.033442393,-0.032656487,0.17070457,-0.014728204,0.031569276,-0.5020595,-1.9246703,-2.182619,25.956984,0.10529137,0.24087332,0.2571787,0.116532885,0.08955124,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603134053,603133324,168057400,59.3948185,24.6601304,0.11243903,0.15156995,-3.448306,-0.0148082385,-0.020691883,0.006032414,0.002184853,-0.02650684,-0.22822806,-0.035045553,0.033442393,-0.032656487,0.17070457,0.018568626,0.18834774,0.1114363,-1.9245259,-2.182619,25.956984,0.10341287,0.2415771,0.2577628,0.116972424,0.08975506,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
603144140,603143343,168057400,59.3948185,24.6601304,0.11271096,0.15120968,-3.4486992,-0.0148082385,-0.020691883,0.006032414,0.000585386,-0.025861463,-0.22937648,-0.03622844,0.033442393,-0.032656487,0.17070457,-0.052556273,-0.0622015,0.07395757,-1.92473,-2.182619,25.956984,0.101614,0.2422857,0.2583493,0.11740455,0.08995898,inf,inf,inf,inf,1,1,1,1,2,2,2,2,3,0,1,1,0,0,0
