timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
603054198,0.026472004,-0.015202403,0.05288901,4941,0,-0.28749502,-0.12192177,-10.260981,4941,0,0,1,1
603059139,0.0047905473,0.00837762,0.03389972,4941,0,0.08472149,0.22636805,-10.060371,4941,0,0,1,1
603064079,-0.007669591,0.013486337,0.020288732,4940,0,-0.31643194,-0.3233975,-10.268257,4940,0,0,1,1
603069020,-0.010665751,0.03295126,-0.024589043,4941,0,0.14967331,0.29716492,-10.159697,4941,0,0,1,1
603073961,-0.021748113,0.017444598,-0.066241436,4941,0,0.51194704,0.19517799,-10.386478,4941,0,0,1,1
603078902,-0.02474234,0.0135566,-0.04794577,4941,0,-0.41760916,-0.34713385,-10.512456,4941,0,0,1,1
603083843,-0.013522021,0.02643411,-0.0053718397,4941,0,0.38107967,0.42920178,-9.906895,4941,0,0,1,1
603088783,0.00038362804,-0.019006426,0.03786826,4940,0,0.30215392,0.41099092,-10.310056,4940,0,0,1,1
603093724,0.0053012944,-0.0267056,0.045653965,4941,0,-0.16115183,-0.29754794,-10.411797,4941,0,0,1,1
603098666,-0.020326229,-0.009143835,0.022451887,4942,0,0.21445514,-0.072821215,-10.282006,4942,0,0,1,1
603103605,0.0015259268,-0.01408436,-0.013692815,4939,0,0.13613446,-0.33842844,-10.219303,4939,0,0,1,1
603108546,0.0003697526,-0.009764439,-0.035831742,4941,0,-0.05348776,0.35956675,-10.574283,4941,0,0,1,1
603113487,-0.012352197,-0.008561132,-0.02463319,4941,0,0.11420236,-0.12103587,-10.119828,4941,0,0,1,1
603118427,0.0041701864,-0.008992913,0.0012148933,4940,0,-0.21074675,0.11977405,-9.928648,4940,0,0,1,1
603123368,0.016975764,0.0015633261,0.03130503,4941,0,-0.028476031,0.07730851,-10.568202,4941,0,0,1,1
603128309,-0.0010727124,-0.0017285804,0.030454384,4941,0,0.24535489,0.17402573,-10.170185,4941,0,0,1,1
603133250,-0.0029346473,-0.0013091664,0.012917025,4941,0,-0.18683086,-0.07004832,-9.912183,4941,0,0,1,1
603138195,-0.008535669,0.020522134,-0.011596282,4945,0,-0.100431345,-0.19243956,-10.510642,4945,0,0,1,1
603143142,-0.01491891,0.031003954,-0.0212951,4947,0,0.20664331,0.003529565,-10.262414,4947,0,0,1,1
603148072,0.0029493412,0.01813459,-0.0061329887,4930,0,-0.14540653,0.18016914,-10.103983,4930,0,0,1,1
603153013,-0.0075176223,0.018741256,0.01133577,4941,0,0.26197386,0.36213157,-10.526838,4941,0,4,1,1
603157953,-0.012137542,-0.010493991,0.027432531,4940,0,0.45821318,-0.1066864,-10.414995,4940,0,0,1,1
603162894,-0.006783824,-0.020639185,0.014074985,4941,0,-0.24086955,0.13967107,-9.952776,4941,0,0,1,1
603167835,-0.0073172706,0.004795555,-0.000421688,4941,0,-0.061255284,-0.18488671,-10.405258,4941,0,0,1,1
603172776,-0.006339291,0.0062922323,-0.013244493,4941,0,0.46476233,-0.11583821,-10.348984,4941,0,0,1,1
603177716,0.014222586,-0.01951547,-0.012594107,4940,0,0.102741435,-0.33281964,-10.201492,4940,0,0,1,1
603182657,0.017188415,-0.00806559,0.0005223228,4941,0,-0.2607137,0.07318757,-10.155056,4941,0,0,1,1
603187598,0.009317788,0.000766785,0.019066256,4941,0,-0.2443299,0.6442486,-9.961716,4941,0,0,1,1
603192539,-0.009465711,0.00538951,0.018106047,4941,0,0.07235921,0.22697943,-10.285521,4941,0,0,1,1
603197479,-0.023416713,-0.0077095763,0.0035487313,4940,0,0.6577574,-0.05773734,-10.6921625,4940,0,0,1,1
603202420,-0.023914453,-0.016533406,-0.012417106,4941,0,-0.022070518,0.029761521,-10.084952,4941,0,0,1,1
603207360,-0.016484465,0.008459872,-0.017580811,4940,0,-0.3893673,-0.27474877,-10.249101,4940,0,0,1,1
603212301,-0.007201088,0.012603355,-0.0053670527,4941,0,0.2976381,-0.020631604,-10.511456,4941,0,0,1,1
603217242,0.006522552,-0.004145329,0.014246723,4941,0,-0.09637453,-0.11614375,-10.093378,4941,0,0,1,1
603222187,0.014837218,0.005553563,0.025134483,4945,0,-0.2992534,0.12992442,-10.063769,4945,0,0,1,1
603227124,-0.0005121884,0.013487445,0.021909824,4937,0,0.15506093,0.22246198,-10.25468,4937,0,0,1,1
603232064,-0.004283083,0.016904725,-0.00049778086,4940,0,0.21302472,-0.15114932,-9.976936,4940,0,0,1,1
603237006,0.007029616,0.009381894,-0.011777981,4942,0,0.20215105,-0.02002327,-10.325916,4942,0,0,1,1
603241946,-0.0057332194,0.004065566,-0.0150939785,4940,0,0.104039855,0.21146254,-10.282297,4940,0,0,1,1
603246887,-0.007659239,-0.002370537,-0.0056253662,4941,0,0.077792004,0.061120383,-10.298699,4941,0,0,1,1
603251828,0.00013220626,-0.017042805,0.015943386,4941,0,0.03840684,0.08956754,-10.370361,4941,0,0,1,1
603256768,-0.008038187,-0.009274647,0.02296243,4940,0,-0.2060979,0.041325122,-10.331455,4940,0,0,1,1
603261709,-0.006194992,-0.0012057199,0.018138519,4941,0,-0.034764707,-0.19317926,-10.222456,4941,0,0,1,1
603266650,0.00089386647,0.0061204894,0.0014799673,4941,0,0.30921492,0.118076675,-10.148215,4941,0,0,1,1
603271590,-0.004141857,-0.009200818,-0.019699106,4940,0,0.35028332,-0.034082763,-10.381442,4940,0,0,1,1
603276531,-0.0096971085,-0.010632341,-0.021577159,4941,0,-0.21350747,0.26808834,-9.97269,4941,0,0,1,1
603281472,-0.020365395,0.0020086088,-0.0061619217,4941,0,-0.02310811,0.23599525,-10.259123,4941,0,0,1,1
603286412,-0.011568743,-0.0036825794,0.01189418,4940,0,0.14293483,-0.19805647,-10.506037,4940,0,0,1,1
603291354,0.0114539,-0.012638044,0.026853504,4942,0,0.020177115,-0.32497087,-10.30262,4942,0,0,1,1
603296294,0.021027984,0.006885124,0.019343978,4940,0,-0.071207665,-0.25886276,-10.400709,4940,0,0,1,1
603301235,0.014046229,0.012786442,0.0077626267,4941,0,-0.15640305,0.014009478,-10.171366,4941,0,0,1,1
603306176,0.005640837,0.02444114,-0.013919123,4941,0,0.15201336,0.36354935,-10.097208,4941,0,0,1,1
603311117,-0.008558253,0.0061555873,-0.016943011,4941,0,0.3248916,0.36887005,-10.165654,4941,0,0,1,1
603316057,-0.022612328,-0.0016471276,-0.0061186687,4940,0,-0.022622101,0.32008585,-10.224024,4940,0,0,1,1
603320998,-0.029095883,-0.00015153266,0.011057355,4941,0,0.10234601,0.21776296,-10.259195,4941,0,0,1,1
603325938,-0.022826316,-0.0070074596,0.018759063,4940,0,0.06344941,-0.54856306,-10.495299,4940,0,0,1,1
603330879,-0.0014515333,-0.0025961807,0.013950034,4941,0,0.115608156,-0.38720962,-10.456776,4941,0,0,1,1
603335821,0.006121397,0.009941973,0.0037225198,4942,0,-0.24458124,-0.025665974,-10.158157,4942,0,0,1,1
603340777,0.011776651,0.0051345425,-0.008448563,4956,0,0.26371512,0.015748767,-10.232378,4956,0,0,1,1
603345701,0.011761726,-0.0037208889,-0.015803542,4924,0,0.19487981,0.4174979,-10.109019,4924,0,0,1,1
603350643,-0.002744413,-0.0052314955,-0.0036537563,4942,0,-0.0784593,0.4209663,-10.110229,4942,0,0,1,1
603355583,-0.014283638,-0.0109310895,0.010702354,4940,0,0.20802829,0.12316232,-10.314807,4940,0,0,1,1
603360524,-0.0117090065,-0.016999518,0.019404843,4941,0,-0.04036821,-0.21521623,-10.401452,4941,0,0,1,1
603365464,0.00071854074,-0.00097345473,0.012469999,4940,0,-0.15540761,-0.32978213,-10.426667,4940,0,0,1,1
603370405,0.008133021,0.0125922,-0.0016555752,4941,0,0.02980181,-0.41639388,-10.284435,4941,0,0,1,1
603375346,0.011606037,0.011608096,-0.008719128,4941,0,0.10844595,0.18611407,-10.114255,4941,0,0,1,1
603380286,-0.004706315,0.00744133,-0.01026778,4940,0,0.17194846,0.4687772,-10.061207,4940,0,0,1,1
603385227,-0.017199794,-0.0038862247,0.0053994665,4941,0,0.12579717,0.5832868,-10.086009,4941,0,0,1,1
603390168,-0.024121463,-0.011728526,0.014874943,4941,0,-0.016510695,0.122387655,-10.28577,4941,0,0,1,1
603395109,-0.025944922,-0.0032575799,0.01650111,4941,0,-0.11748556,-0.16807394,-10.465626,4941,0,0,1,1
603400049,-0.014513383,0.01411671,0.004346907,4940,0,0.050121818,-0.6733259,-10.462006,4940,0,0,1,1
603404990,0.010848505,0.014903363,-0.012229243,4941,0,0.10425057,-0.31407002,-10.458994,4941,0,0,1,1
603409932,0.021778947,0.00941837,-0.014803804,4942,0,0.07984535,0.10359807,-10.247877,4942,0,0,1,1
