timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
603024138,0,1724403622750286,0,593948197,246601313,26626,45217,0.165,0.73222196,0.80300003,1.485,1.24,2.5,86,46,0.093,-0.042000003,-0.083000004,0.063,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603060256,0,1724403622875286,0,593948198,246601313,26644,45234,0.187,0.7322225,0.80300003,1.485,1.24,2.5,86,46,0.09900001,0.07700001,0.061000004,0.020000001,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603209520,0,1724403623000286,0,593948196,246601310,26657,45248,0.177,0.73222286,0.80200005,1.485,1.24,2.5,87,41,0.1,-0.078,-0.063,0.013,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603308292,0,1724403623125286,0,593948197,246601308,26690,45281,0.18300001,0.73222333,0.80200005,1.485,1.24,2.5,87,41,0.07,0.048,0.051000003,0.013,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603435776,0,1724403623250286,0,593948195,246601307,26688,45279,0.18,0.73222375,0.80200005,1.485,1.24,2.5,87,41,0.105000004,-0.10300001,-0.021000002,0.035,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603560402,0,1724403623375286,0,593948197,246601307,26699,45290,0.179,0.7322243,0.80200005,1.485,1.24,2.5,87,41,0.087000005,0.080000006,0.035,-0.008,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603685082,0,1724403623500286,0,593948196,246601306,26701,45292,0.172,0.7322246,0.80200005,1.485,1.24,2.5,87,41,0.076000005,-0.071,0.026,0.029000001,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603807430,0,1724403623625286,0,593948195,246601301,26733,45324,0.148,0.7322249,0.80300003,1.485,1.24,2.5,87,41,0.061000004,0.0050000004,-0.060000002,0.020000001,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
603937154,0,1724403623750286,0,593948195,246601301,26737,45328,0.19000001,0.7322255,0.80300003,1.485,1.24,2.5,87,41,0.046000004,0.007,0.045,0.020000001,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
604059670,0,1724403623875286,0,593948197,246601299,26758,45349,0.158,0.73222584,0.80200005,1.485,1.24,2.5,87,44,0.109000005,0.106000006,-0.028,-0.016,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
