timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
603054787,603054198,2490386,2490386,0.00013079817,-7.511507e-05,0.0002613246,-0.0014205129,-0.0006024155,-0.050699502,4941,4941,0,0,1,1
603059714,603059139,2490386,2490386,2.3670094e-05,4.1393818e-05,0.00016749853,0.0004186089,0.0011184845,-0.049708296,4941,4941,0,0,1,1
603064895,603064079,2490386,2490386,-3.7887778e-05,6.66225e-05,0.00010022633,-0.0015631737,-0.0015975835,-0.050725188,4940,4940,0,0,1,1
603069509,603069020,2490386,2490386,-5.2699474e-05,0.00016281218,-0.00012149446,0.00073953584,0.0014682919,-0.05019906,4941,4941,0,0,1,1
603074593,603073961,2490386,2490386,-0.000107457425,8.619376e-05,-0.00032729894,0.0025295303,0.00096437446,-0.051319588,4941,4941,0,0,1,1
603079392,603078902,2490386,2490386,-0.0001222519,6.698316e-05,-0.00023690006,-0.0020634069,-0.0017151883,-0.051942043,4941,4941,0,0,1,1
603084315,603083843,2490386,2490386,-6.68123e-05,0.00013061093,-2.654226e-05,0.0018829147,0.002120686,-0.048949964,4941,4941,0,0,1,1
603089281,603088783,2490386,2490386,1.8951224e-06,-9.389174e-05,0.0001870692,0.0014926404,0.002030295,-0.050931673,4940,4940,0,0,1,1
603094624,603093724,2490386,2490386,2.6193695e-05,-0.00013195237,0.00022557624,-0.0007962512,-0.0014701843,-0.051444687,4941,4941,0,0,1,1
603099145,603098666,2490386,2490386,-0.00010045222,-4.518883e-05,0.000110957226,0.0010598373,-0.00035988243,-0.050813675,4942,4942,0,0,1,1
603104558,603103605,2490386,2490386,7.536552e-06,-6.956265e-05,-6.762881e-05,0.0006723681,-0.0016714981,-0.05047314,4939,4939,0,0,1,1
603109086,603108546,2490386,2490386,1.8269476e-06,-4.8246093e-05,-0.00017704464,-0.000264283,0.0017766193,-0.052247528,4941,4941,0,0,1,1
603114491,603113487,2490386,2490386,-6.1032206e-05,-4.230055e-05,-0.00012171259,0.00056427385,-0.0005980382,-0.05000207,4941,4941,0,0,1,1
603119123,603118427,2490386,2490386,2.060072e-05,-4.442499e-05,6.0015727e-06,-0.001041089,0.0005916838,-0.04904752,4940,4940,0,0,1,1
603124358,603123368,2490386,2490386,8.3877254e-05,7.724394e-06,0.00015467816,-0.00014070007,0.00038198134,-0.052217487,4941,4941,0,0,1,1
603129020,603128309,2490386,2490386,-5.300272e-06,-8.540916e-06,0.00015047511,0.0012122985,0.0008598611,-0.050250884,4941,4941,0,0,1,1
603134236,603133250,2490386,2490386,-1.4500092e-05,-6.4685914e-06,6.382302e-05,-0.0009231313,-0.00034610872,-0.048976094,4941,4941,0,0,1,1
603139115,603138195,2490386,2490386,-4.220888e-05,0.00010148196,-5.7343612e-05,-0.000496633,-0.0009516136,-0.051975124,4945,4945,0,0,1,1
603144252,603143142,2490386,2490386,-7.380385e-05,0.00015337656,-0.00010534686,0.0010222645,1.7460758e-05,-0.050768163,4947,4947,0,0,1,1
603148812,603148072,2490386,2490386,1.4540253e-05,8.940353e-05,-3.0235635e-05,-0.00071685424,0.0008882339,-0.049812637,4930,4930,0,0,1,1
603154317,603153013,2490386,2490386,-3.714457e-05,9.2600545e-05,5.6010038e-05,0.0012944129,0.0017892921,-0.052013107,4941,4941,4,0,1,1
603158447,603157953,2490386,2490386,-5.9959453e-05,-5.1840314e-05,0.0001355167,0.002263573,-0.0005270308,-0.051450074,4940,4940,0,0,1,1
603163464,603162894,2490386,2490386,-3.3518874e-05,-0.00010197821,6.95445e-05,-0.0011901364,0.00069011474,-0.049176663,4941,4941,0,0,1,1
603168326,603167835,2490386,2490386,-3.6154634e-05,2.3694838e-05,-2.0835603e-06,-0.00030266235,-0.00091352523,-0.05141238,4941,4941,0,0,1,1
603173266,603172776,2490386,2490386,-3.1322437e-05,3.108992e-05,-6.544104e-05,0.0022963907,-0.00057235657,-0.05113433,4941,4941,0,0,1,1
603178202,603177716,2490386,2490386,7.025957e-05,-9.640642e-05,-6.221489e-05,0.0005075427,-0.0016441289,-0.05039537,4940,4940,0,0,1,1
603183130,603182657,2490386,2490386,8.492796e-05,-3.985208e-05,2.580797e-06,-0.0012881864,0.00036161978,-0.05017613,4941,4941,0,0,1,1
603188076,603187598,2490386,2490386,4.603919e-05,3.7886846e-06,9.420637e-05,-0.001207234,0.0031832324,-0.049220838,4941,4941,0,0,1,1
603193015,603192539,2490386,2490386,-4.6770077e-05,2.6629568e-05,8.946198e-05,0.00035752685,0.0011215054,-0.050820757,4941,4941,0,0,1,1
603198091,603197479,2490386,2490386,-0.00011567856,-3.8085305e-05,1.7530732e-05,0.0032493216,-0.00028522246,-0.05281928,4940,4940,0,0,1,1
