timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
603055310,603054198,168057400,59.3948185,24.6601304,0.11254834,0.16950205,-3.4884868,-0.050271273,0.0026445389,0.2936716,0.00085751823,-0.0023977114,-0.14363585,-0.003074451,-0.09392912,0.05679685,0.20339692,-0.026523184,0.37107247,-0.08504858,-1.9255763,0.0009012222,25.939417,0.1,0.2447806,0.25995317,0.11851464,0.09085628,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603066167,603064079,168057400,59.3948185,24.6601304,0.11289458,0.16902749,-3.4883637,-0.050271273,0.0026445389,0.2936716,0.0002428785,-0.0011971445,-0.143878,-0.0031287144,-0.09392912,0.05679685,0.20339692,-0.20502593,0.46899232,-0.09128499,-1.9253412,0.0009012222,25.939417,0.1,0.23678468,0.25461242,0.11362977,0.0887119,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603075711,603073961,168057400,59.3948185,24.6601304,0.113216706,0.1685657,-3.488303,-0.050271273,0.0026445389,0.2936716,-0.00062332896,-0.005271742,-0.14441939,-0.0035484342,-0.09392912,0.05679685,0.20339692,-0.0072230403,-0.48466784,-0.21370567,-1.9258239,0.0009012222,25.939417,0.1,0.2374505,0.2551782,0.114050865,0.08891394,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603084905,603083843,168057400,59.3948185,24.6601304,0.11353339,0.16811681,-3.4883096,-0.050271273,0.0026445389,0.2936716,0.001316009,-0.0042927284,-0.14409988,-0.0031707014,-0.09392912,0.05679685,0.20339692,0.25840393,-0.44346508,0.2650827,-1.9261218,0.0009012222,25.939417,0.1,0.23812084,0.25574636,0.1144718,0.08911608,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603095607,603093724,168057400,59.3948185,24.6601304,0.11387206,0.16767286,-3.4883552,-0.050271273,0.0026445389,0.2936716,0.0029339902,-0.003772514,-0.14383507,-0.0029084475,-0.09392912,0.05679685,0.20339692,-0.23626961,0.3177328,-0.23444395,-1.9257425,0.0009012222,25.939417,0.1,0.23879574,0.2563168,0.11489383,0.08931831,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603105588,603103605,168057400,59.3948185,24.6601304,0.11417802,0.16724315,-3.488283,-0.050271273,0.0026445389,0.2936716,-0.0010360483,-0.004683898,-0.14418484,-0.0031308103,-0.09392912,0.05679685,0.20339692,-0.37818995,0.051332865,-0.042705633,-1.9257336,0.0009012222,25.939417,0.1,0.23947522,0.25620046,0.115318246,0.08941952,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603115319,603113487,168057400,59.3948185,24.6601304,0.11446185,0.16682471,-3.4882796,-0.050271273,0.0026445389,0.2936716,-0.00018910566,-0.0049925568,-0.1455347,-0.0044170697,-0.09392912,0.05679685,0.20339692,-0.16691668,-0.0048903804,0.05590174,-1.9260631,0.0009012222,25.939417,0.1,0.24015927,0.25677407,0.11574367,0.08962199,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603125176,603123368,168057400,59.3948185,24.6601304,0.11475328,0.16643122,-3.4883235,-0.050271273,0.0026445389,0.2936716,0.0023137862,-0.0032887144,-0.14536026,-0.004240173,-0.09392912,0.05679685,0.20339692,0.06831676,0.061023418,-0.3929893,-1.925934,0.0009012222,25.939417,0.1,0.24084795,0.25735003,0.11616863,0.08982456,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603135114,603133250,168057400,59.3948185,24.6601304,0.11504633,0.16604985,-3.4884267,-0.050271273,0.0026445389,0.2936716,0.00242083,-0.003388841,-0.14365381,-0.0025898283,-0.09392912,0.05679685,0.20339692,-0.012509775,0.25753486,0.26418775,-1.9257518,0.0009012222,25.939417,0.1,0.24154125,0.2579283,0.11659475,0.09002722,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603145117,603143142,168057400,59.3948185,24.6601304,0.11531632,0.16568922,-3.4885895,-0.050271273,0.0026445389,0.2936716,0.00051617995,-0.0035259922,-0.14599809,-0.005046243,-0.09392912,0.05679685,0.20339692,-0.0813455,-0.13284653,-0.08760303,-1.9259487,0.0009012222,25.939417,0.1,0.24223919,0.25850898,0.11701885,0.090229996,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603155168,603153013,168057400,59.3948185,24.6601304,0.11558912,0.16534239,-3.488801,-0.050271273,0.0026445389,0.2936716,0.0036427313,-0.0040847217,-0.14644498,-0.005658866,-0.09392912,0.05679685,0.20339692,0.23552187,-0.3065577,-0.35394427,-1.9259576,0.0009012222,25.939417,0.1,0.24294177,0.25909197,0.11745237,0.09043286,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603164862,603162894,168057400,59.3948185,24.6601304,0.11586475,0.16499254,-3.4890704,-0.050271273,0.0026445389,0.2936716,0.0036087253,-0.004274831,-0.14513631,-0.004567165,-0.09392912,0.05679685,0.20339692,0.20262897,0.2382452,0.2228371,-1.9257864,0.0009012222,25.939417,0.1,0.24364904,0.25967732,0.11787775,0.09063583,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603175018,603172776,168057400,59.3948185,24.6601304,0.11612079,0.164658,-3.4891734,-0.050271273,0.0026445389,0.2936716,0.0007536068,-0.0054532425,-0.1471022,-0.0065760133,-0.09392912,0.05679685,0.20339692,-0.28368515,-0.33211976,-0.17445554,-1.9258896,0.0009012222,25.939417,0.1,0.244361,0.25954843,0.118307635,0.090731174,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603184459,603182657,168057400,59.3948185,24.6601304,0.11634616,0.16433258,-3.4893272,-0.050271273,0.0026445389,0.2936716,5.2650546e-05,-0.0034539802,-0.14589256,-0.0054658465,-0.09392912,0.05679685,0.20339692,0.14775379,0.2794687,0.021053202,-1.9259802,0.0009012222,25.939417,0.1,0.24507765,0.2601369,0.11873589,0.09093435,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
603193527,603192539,168057400,59.3948185,24.6601304,0.11659995,0.16403086,-3.4895277,-0.050271273,0.0026445389,0.2936716,0.004999998,-0.003654318,-0.14555614,-0.0052829185,-0.09392912,0.05679685,0.20339692,0.17614748,-0.085561626,-0.111175366,-1.9258289,0.0009012222,25.939417,0.1,0.24579902,0.26072773,0.119169846,0.09113762,inf,inf,inf,inf,1,1,1,1,7,7,7,7,8,0,1,1,0,0,0
