Unnamed: 0,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,603047200,2490386,0.48961425,0.170946,-10.35588,0.0042633996,-0.0053958655,0.020217841,39.95773
1,603048444,2490386,0.59017074,1.0919954,-10.051098,0.012350536,-0.045012176,0.05799556,39.91546
2,603049648,2490386,-0.44556093,0.09983821,-10.700167,0.018872205,-0.045065466,0.07444295,39.794685
3,603050890,2490386,-0.98617166,-1.564132,-11.006385,0.045824885,-0.016947014,0.046144642,39.830917
4,603052174,2490386,-0.13599066,0.3963601,-8.540895,0.0017053599,-0.022163017,0.06618262,39.855072
5,603053398,2490386,-0.23942018,0.53678,-10.534727,-0.011264701,-0.026473047,0.07961899,39.86111
6,603054583,2490386,-0.72496426,0.4213795,-10.539994,0.024168147,-0.013629556,0.06888721,39.758453
7,603055849,2490386,-0.3878607,0.43239284,-9.218874,0.02141026,-0.005762251,0.050887674,39.8128
8,603057056,2490386,-0.09672575,0.22146367,-9.1784115,-0.0174866,0.0036438745,0.06034709,39.91546
9,603058282,2490386,0.18171991,-0.2786851,-10.820355,-0.058708347,0.009033078,0.029617306,39.830917
10,603059515,2490386,0.45537716,0.8614338,-10.868718,0.023701837,-0.0003730475,0.03011026,39.77053
11,603060777,2490386,-0.1067814,1.2943054,-9.680955,-0.0502415,-0.018699005,0.06462381,39.758453
12,603062076,2490386,-1.8880675,-0.818817,-11.0935335,-0.024367994,0.007960566,0.025933461,39.764492
13,603063261,2490386,-0.0081402855,-3.2515655,-9.617029,0.018172741,0.019411791,0.025407199,39.746376
14,603064431,2490386,-0.5760449,2.3264458,-9.816466,-0.07436968,0.02439464,0.012397167,39.746376
15,603066914,2490386,1.087207,1.3204023,-9.971372,0.0016587289,0.015021822,0.005509112,39.710144
16,603069357,2490386,-0.59783214,-1.2744336,-10.0092,0.0123905055,0.008353599,-0.06510345,39.806763
