i,timestamp(ns),T_ch_wrt_par_x(m),T_ch_wrt_par_y(m),T_ch_wrt_par_z(m),roll(rad),pitch(rad),yaw(rad),vel_ch_wrt_par_x(m/s),vel_ch_wrt_par_y(m/s),vel_ch_wrt_par_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s)
591887965521,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.0,-0.001,0.001,
591917592177,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.001,-0.001,-0.001,
591947243467,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.0,-0.0,-0.0,
591986811987,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.001,0.001,0.0,
592016502824,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,0.0,-0.0,-0.0,
592046232646,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,0.001,0.001,0.001,
592085880135,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.001,0.006,0.002,0.002,-0.0,
592115640324,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.001,0.006,0.001,0.002,0.001,
592155359031,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,0.001,0.001,0.001,
592183034746,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.0,0.003,0.0,
592222156020,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,0.0,0.002,0.0,
592251514294,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.005,-0.001,-0.003,-0.001,
592290708756,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.006,-0.001,-0.001,0.001,
592320151458,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.005,0.003,0.0,0.0,
592349725710,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.005,0.002,0.001,0.001,
592389037305,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.005,0.002,0.001,-0.002,
592418555672,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.005,-0.001,-0.0,0.0,
592448093170,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.004,0.0,-0.001,-0.0,
592487511223,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.004,-0.0,-0.003,0.0,
592517134623,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.004,-0.0,-0.0,-0.0,
592546759783,-0.0,0.0,-0.1,-0.047,-0.058,0.001,0.001,0.0,0.004,-0.001,0.001,-0.001,
592586278158,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.004,-0.001,-0.002,-0.001,
592615946627,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.004,0.002,0.003,0.0,
592655535417,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.004,0.0,-0.002,0.0,
592685251435,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.003,-0.002,-0.003,0.0,
592715011408,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.002,-0.001,0.002,
