timestamp,voxl_imu0_AX(m/s2),voxl_imu0_AY(m/s2),voxl_imu0_AZ(m/s2),voxl_imu0_GX(rad/s),voxl_imu0_GY(rad/s),voxl_imu0_GZ(rad/s),voxl_imu1_AX(m/s2),voxl_imu1_AY(m/s2),voxl_imu1_AZ(m/s2),voxl_imu1_GX(rad/s),voxl_imu1_GY(rad/s),voxl_imu1_GZ(rad/s),voxl_vo_i,voxl_vo_timestamp(ns),voxl_vo_T_imu_wrt_vio_x(m),voxl_vo_T_imu_wrt_vio_y(m),voxl_vo_T_imu_wrt_vio_z(m),voxl_vo_roll(rad),voxl_vo_pitch(rad),voxl_vo_yaw(rad),voxl_vo_vel_imu_wrt_vio_x(m/s),voxl_vo_vel_imu_wrt_vio_y(m/s),voxl_vo_vel_imu_wrt_vio_z(m/s),voxl_vo_angular_vel_x(rad/s),voxl_vo_angular_vel_y(rad/s),voxl_vo_angular_vel_z(rad/s),voxl_vo_gravity_vector_x(m/s2),voxl_vo_gravity_vector_y(m/s2),voxl_vo_gravity_vector_z(m/s2),voxl_vo_T_cam_wrt_imu_x(m),voxl_vo_T_cam_wrt_imu_y(m),voxl_vo_T_cam_wrt_imu_z(m),voxl_vo_imu_to_cam_roll_x(rad),voxl_vo_imu_to_cam_pitch_y(rad),voxl_vo_imu_to_cam_yaw_z(rad),voxl_vo_features,voxl_vo_quality,voxl_vo_state,voxl_vo_error_code,px4_imu0_AX(m/s2),px4_imu0_AY(m/s2),px4_imu0_AZ(m/s2),px4_imu0_GX(rad/s),px4_imu0_GY(rad/s),px4_imu0_GZ(rad/s),px4_imu1_AX(m/s2),px4_imu1_AY(m/s2),px4_imu1_AZ(m/s2),px4_imu1_GX(rad/s),px4_imu1_GY(rad/s),px4_imu1_GZ(rad/s),px4_gps_lat,px4_gps_lon,px4_gps_alt,px4_gps_north,px4_gps_east,px4_gps_down,px4_gps_vel_m_s,px4_gps_vel_n_m_s,px4_gps_vel_e_m_s,px4_gps_vel_d_m_s,px4_gps_eph,px4_gps_epv,px4_vo_position[0],px4_vo_position[1],px4_vo_position[2],px4_vo_q[0],px4_vo_q[1],px4_vo_q[2],px4_vo_q[3],px4_vo_velocity[0],px4_vo_velocity[1],px4_vo_velocity[2],px4_vo_angular_velocity[0],px4_vo_angular_velocity[1],px4_vo_angular_velocity[2],px4_vo_position_variance[0],px4_vo_position_variance[1],px4_vo_position_variance[2],px4_vo_orientation_variance[0],px4_vo_orientation_variance[1],px4_vo_orientation_variance[2],px4_vo_velocity_variance[0],px4_vo_velocity_variance[1],px4_vo_velocity_variance[2],px4_vehicle_odom_position[0],px4_vehicle_odom_position[1],px4_vehicle_odom_position[2],px4_vehicle_odom_q[0],px4_vehicle_odom_q[1],px4_vehicle_odom_q[2],px4_vehicle_odom_q[3],px4_vehicle_odom_velocity[0],px4_vehicle_odom_velocity[1],px4_vehicle_odom_velocity[2],px4_vehicle_odom_angular_velocity[0],px4_vehicle_odom_angular_velocity[1],px4_vehicle_odom_angular_velocity[2],px4_vehicle_odom_position_variance[0],px4_vehicle_odom_position_variance[1],px4_vehicle_odom_position_variance[2],px4_vehicle_odom_orientation_variance[0],px4_vehicle_odom_orientation_variance[1],px4_vehicle_odom_orientation_variance[2],px4_vehicle_odom_velocity_variance[0],px4_vehicle_odom_velocity_variance[1],px4_vehicle_odom_velocity_variance[2],px4_imu0_bias_gyro_bias[0],px4_imu0_bias_gyro_bias[1],px4_imu0_bias_gyro_bias[2],px4_imu0_bias_accel_bias[0],px4_imu0_bias_accel_bias[1],px4_imu0_bias_accel_bias[2],px4_imu1_bias_gyro_bias[0],px4_imu1_bias_gyro_bias[1],px4_imu1_bias_gyro_bias[2],px4_imu1_bias_accel_bias[0],px4_imu1_bias_accel_bias[1],px4_imu1_bias_accel_bias[2]
564943991,-0.9474,0.19433,-10.03595,0.01192,0.00635,-0.00284,-0.8914,1.2816,-9.0138,0.01434,-0.05072,0.00077,159,564946643693,-0.0001,-0.0008,-0.0025,-0.0047,0.0029,0.0026,-0.002,-0.004,-0.007,0.009,0.004,-0.008,0.516,-0.831,9.754,0.065,-0.014,0.013,-0.01,0.653,1.586,15,100,2,0,-0.89591026,0.34572273,-10.014467,-0.024181502,0.0029827405,0.0016511598,-0.9232042,0.16304514,-9.902179,-0.016294181,-0.000119908116,0.023235528,59.3962226,24.6605742,23.629,-0.011140237134813618,0.005681381023714695,-0.004999998586217983,0.013,0.011000001,0.0050000004,0.0,0.13100001,0.261,-0.0007176208,-0.00020343291,-0.100847825,0.9986949,-0.044696942,-0.024696881,0.0009103671,-0.002025945,-0.0016430517,-0.0035783611,0.00011392736,-0.0012278998,-7.115529e-05,1.223719e-07,1.7654024e-07,1.01542966e-07,1.0810183e-07,1.2016926e-07,1.5459196e-07,1.1326393e-05,1.4487629e-05,6.5228696e-06,2.338156,-1.3193864,-2.3802004,0.99632156,-0.013726171,-0.03581514,-0.07663042,-0.023101142,-0.027668508,-0.037425105,-0.001460168,0.000562889,-0.0001618207,0.017543316,0.017542878,0.034172673,2.4708379e-05,2.4350233e-05,0.00034871788,0.0062190704,0.0062178452,0.0067882445,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.0022037544,0.0027691622,0.0016558438,0.0018858004,-0.004701377,-0.066834904
565044186,-1.9942,0.3184,-9.84411,-0.00885,0.03578,0.00688,-2.59631,-0.12783,-9.82579,-0.02295,-0.0145,-0.00243,162,565045588803,-0.0,-0.0007,-0.0027,-0.0046,0.0031,0.0026,-0.006,-0.002,-0.008,-0.012,0.037,0.006,0.515,-0.831,9.754,0.065,-0.014,0.013,-0.01,0.653,1.586,15,100,2,0,-0.97013056,-0.33758244,-10.717883,-0.0056991647,0.0038882152,0.0020772656,-0.78817123,-0.5260061,-10.8165245,-0.02119043,-0.0015654671,0.03480666,59.3962226,24.6605742,23.646,-0.011140237559727156,0.005681381114361388,-0.021999998266309953,0.021000002,-0.014,0.016,0.009000001,0.13100001,0.261,-0.0007017821,-0.00015426088,-0.10092207,0.99869376,-0.044713147,-0.024712628,0.000867303,-0.00096501154,-0.0019643018,-0.0039234753,0.006175698,0.009289988,0.041181665,1.2186116e-07,1.7597111e-07,1.01614155e-07,8.80662e-08,9.096203e-08,1.69851e-07,1.04171095e-05,1.2834949e-05,6.9157795e-06,2.335785,-1.316979,-2.3859854,0.9963305,-0.013706088,-0.035820108,-0.07651504,-0.023247566,-0.028160226,-0.043024544,0.0061968756,-0.011865846,0.019246118,0.017214255,0.017213847,0.033747595,2.4627128e-05,2.426828e-05,0.00034921148,0.0061106584,0.006109465,0.0067167925,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.0022037544,0.0027691622,0.0016558438,0.0018858004,-0.004701377,-0.066834904
565144267,-0.35517,-0.19345,-9.10555,-0.00792,0.04909,0.00554,-1.96894,-1.45125,-11.66471,-0.01869,0.11121,-0.00243,165,565147302243,-0.0018,-0.001,-0.0047,-0.0041,0.009,0.0023,-0.012,-0.005,-0.016,0.037,0.018,-0.014,0.516,-0.831,9.754,0.065,-0.014,0.013,-0.011,0.653,1.586,14,100,2,0,-1.1152191,1.0381259,-10.540712,-0.03169162,-0.022743396,0.0020240024,-2.1593306,-0.4984728,-8.713937,-0.022222972,-0.008366922,0.045918148,59.3962226,24.6605742,23.646,-0.011140237559727156,0.005681381114361388,-0.021999998266309953,0.021000002,-0.014,0.016,0.009000001,0.13100001,0.261,-0.00075033196,-0.00023850205,-0.100964166,0.9986946,-0.04471169,-0.02468266,0.00084989483,-0.0022617918,-0.0026510337,-0.0039014283,-0.00078355044,0.0019650005,0.012776219,1.2237294e-07,1.7646146e-07,1.0147123e-07,1.0350579e-07,1.12559306e-07,1.588554e-07,1.1342309e-05,1.43198295e-05,6.565206e-06,2.3331447,-1.3145088,-2.3923898,0.99632007,-0.013721043,-0.035864007,-0.07662885,-0.022316946,-0.028357008,-0.04881594,-0.0004757842,-0.0059931935,0.014153966,0.01689777,0.016897388,0.033242114,2.4544968e-05,2.4187184e-05,0.00034835358,0.0060053198,0.00600415,0.0066379765,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.0022037544,0.0027691622,0.0016558438,0.0018858004,-0.004701377,-0.066834904
565244517,-2.45741,0.54891,-8.37178,0.00886,0.23964,-0.04759,-1.0686,2.92991,-1.67722,0.00582,0.33918,0.00397,168,565246016743,-0.0032,-0.0013,-0.008,-0.0037,0.0173,0.0012,-0.02,-0.007,-0.029,0.107,0.121,-0.012,0.516,-0.832,9.754,0.065,-0.014,0.013,-0.011,0.653,1.585,9,86,2,0,-1.1353304,0.9059659,-11.22306,0.0064981133,0.0058589545,0.008202536,-1.2282255,-0.9842563,-10.943178,0.005176034,0.001445559,0.025167381,59.3962225,24.6605742,23.651,-0.02228047465406647,0.005681381197141144,-0.02700000007471343,0.017,-0.006,-0.016,0.013,0.13100001,0.261,-0.00068491115,-0.00022565859,-0.10094029,0.9986948,-0.044736303,-0.02462947,0.0008759342,-0.0018437436,-0.0023387796,-0.0036190015,-0.00029686035,-0.0019599458,0.004837708,1.2300791e-07,1.7735015e-07,1.01947144e-07,1.1135028e-07,1.261368e-07,1.574417e-07,1.1485256e-05,1.4716317e-05,6.5476715e-06,2.3304613,-1.3130248,-2.3997562,0.99631804,-0.013719198,-0.035824396,-0.07667276,-0.022370372,-0.029129332,-0.054501668,0.000392535,-0.005407668,0.008305401,0.01830459,0.018304074,0.035292443,2.4913432e-05,2.455493e-05,0.00034884608,0.0064983154,0.006496974,0.0069726342,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.0022037544,0.0027691622,0.0016558438,0.0018858004,-0.004701377,-0.066834904
565344623,-0.07294,-1.20249,-13.50335,0.27717,0.13405,-0.00178,2.83928,-0.21382,-6.17183,0.49692,-0.12103,-0.03012,171,565344922094,-0.0068,-0.0002,-0.0137,0.0009,0.0333,-0.0002,-0.024,0.013,-0.075,0.272,0.138,-0.007,0.516,-0.832,9.754,0.065,-0.014,0.013,-0.01,0.652,1.585,9,100,2,0,-1.313459,0.1637634,-10.41382,-0.03424825,-0.0064981133,0.02263687,-0.9756372,0.27605146,-9.468349,-0.018878868,-0.0005129403,0.033314474,59.3962224,24.6605743,23.658,-0.03342071384703898,0.011362762364997963,-0.033999999492854156,0.013,0.001,0.013,-0.022000002,0.13100001,0.261,-0.00070572435,-0.00015124083,-0.10104886,0.9986962,-0.044720393,-0.024602968,0.0008523349,-0.002441978,-0.002051405,-0.004024876,-0.002665803,0.00057514297,0.0026841175,1.2339e-07,1.7792883e-07,1.0232511e-07,1.1210852e-07,1.2480191e-07,1.5566822e-07,1.1542948e-05,1.4741445e-05,6.5453487e-06,2.3274515,-1.3116926,-2.4072456,0.9963145,-0.013755797,-0.035841502,-0.076704994,-0.022557069,-0.03095975,-0.062040117,-0.0013280321,-0.00221561,0.010200763,0.01790544,0.017904963,0.03469884,2.4797619e-05,2.4441018e-05,0.00034799115,0.006353765,0.006352471,0.006874555,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.002198892,0.0027777033,0.0016582106,0.0018865502,-0.0047016647,-0.06807621
565444705,-0.25452,0.97525,-11.49359,-0.06917,0.51608,-0.06929,-1.36073,1.34849,1.77135,-0.37876,0.27313,-0.11748,174,565444143933,-0.0095,0.0006,-0.027,-0.0024,0.0695,-0.0015,-0.024,-0.005,-0.216,-0.053,0.497,-0.087,0.516,-0.832,9.754,0.065,-0.014,0.013,-0.009,0.652,1.585,4,27,2,0,-1.0716447,1.1994951,-11.909717,-0.01603223,0.007829694,-0.035313517,-1.0699687,0.14844051,-11.292971,-0.004216769,0.0060486984,-0.014062557,59.3962224,24.6605742,23.663,-0.03342071410609471,0.005681381030502706,-0.03899999922347278,0.029000001,-0.017,-0.024,0.017,0.13100001,0.261,-0.00051578355,-5.297928e-05,-0.10160262,0.9986943,-0.04473081,-0.024658954,0.0009218316,-0.0014601924,-0.0016925703,-0.006193702,0.0038553383,-0.0039641843,-0.007238089,1.2348751e-07,1.7815361e-07,1.0251271e-07,1.0901914e-07,1.1800103e-07,1.4882272e-07,1.140438e-05,1.4506284e-05,6.437386e-06,2.3242023,-1.3094013,-2.415274,0.99631065,-0.013749929,-0.03584215,-0.076756336,-0.022473099,-0.03160181,-0.07409325,0.0025392072,0.003805049,-0.0038774165,0.01756121,0.017560763,0.034259588,2.471112e-05,2.4353585e-05,0.00034848438,0.0062397397,0.0062384713,0.0068007237,-0.004158201,-0.0009553781,-6.960885e-05,-0.024508808,0.0441316,-0.031160276,-0.002198892,0.0027777033,0.0016582106,0.0018865502,-0.0047016647,-0.06807621
565545599,0.20392,-1.60491,-13.5606,0.33723,0.18878,0.0178,2.22149,8.40517,-26.21844,-0.138,0.2742,-0.02586,177,565543422065,-0.0141,0.0004,-0.0571,0.0117,0.0951,0.0002,-0.052,-0.014,-0.405,0.48,0.206,0.119,0.516,-0.832,9.754,0.065,-0.014,0.013,-0.012,0.652,1.587,3,16,2,0,-0.6014235,0.9911995,-8.180987,-0.015446334,-0.0041545313,-0.0010652645,-1.2428302,0.24157496,-8.535808,-0.010531929,-0.010298775,0.01769311,59.3962224,24.6605743,23.68,-0.03342071410213593,0.011362762325586015,-0.05599999973193405,0.021000002,0.009000001,0.019000001,0.012,0.13100001,0.261,-0.00039986693,-0.000103361934,-0.10178532,0.9986928,-0.044740494,-0.024699342,0.00095801876,-0.0019660338,-0.0021423858,-0.0057770563,-0.007693067,0.003437696,0.008639825,1.2354101e-07,1.7831097e-07,1.0274767e-07,1.0841044e-07,1.1626985e-07,1.4913887e-07,1.1436889e-05,1.450807e-05,6.414966e-06,2.3207235,-1.308081,-2.4244113,0.9963125,-0.013786762,-0.035878938,-0.07670866,-0.021683287,-0.03236072,-0.08603446,0.00527507,-0.0027705724,0.007338281,0.017219597,0.017219182,0.033726092,2.46175e-05,2.4260873e-05,0.00034762756,0.006124194,0.0061229635,0.006715851,-0.004181877,-0.0009551891,-6.6081535e-05,-0.024503602,0.04414199,-0.032478493,-0.002198892,0.0027777033,0.0016582106,0.0018865502,-0.0047016647,-0.06807621
565645711,0.44762,-0.91577,-10.04044,0.09554,-0.24159,0.00262,0.85661,0.48372,-19.72729,0.00901,-0.20518,0.1041,180,565662830811,-0.0223,0.0011,-0.1157,0.0317,0.0948,0.0034,-0.075,-0.002,-0.546,-0.06,-0.374,0.055,0.517,-0.831,9.754,0.065,-0.014,0.013,-0.013,0.651,1.588,3,16,2,0,-0.92655605,-0.39360675,-9.67018,-0.03488741,-0.058163438,-0.004261058,-0.86334914,-0.6002264,-9.859083,-0.010471975,-0.07784035,0.006921363,59.3962224,24.6605743,23.68,-0.03342071410213593,0.011362762325586015,-0.05599999973193405,0.021000002,0.009000001,0.019000001,0.012,0.13100001,0.261,-0.0003722454,-0.00010769134,-0.10183461,0.9986943,-0.044691574,-0.024727913,0.0009492253,-0.002106034,-0.0029812574,-0.0052714427,-0.0023016275,-4.1512394e-05,-0.003861577,1.2388982e-07,1.7935585e-07,1.033307e-07,1.1675682e-07,1.2375921e-07,1.6682901e-07,1.1805287e-05,1.4737047e-05,6.7465735e-06,2.3173864,-1.3067162,-2.434273,0.99630815,-0.013796499,-0.035894502,-0.0767558,-0.02137869,-0.03356719,-0.09916968,0.0037629206,0.0051503303,0.0023687326,0.016892113,0.016891727,0.03320838,2.4528304e-05,2.4170418e-05,0.00034812264,0.0060128816,0.006011687,0.0066332854,-0.004181877,-0.0009551891,-6.6081535e-05,-0.024503602,0.04414199,-0.032478493,-0.002198892,0.0027777033,0.0016582106,0.0018865502,-0.0047016647,-0.06807621
565745556,-0.60365,-0.5289,-10.88451,0.00286,0.04949,0.04003,0.72251,1.20038,-11.72202,0.03777,-0.18814,0.07854,183,565743447757,-0.0268,0.0018,-0.16,0.0292,0.0805,0.0068,-0.07,0.003,-0.543,0.031,0.049,0.032,0.516,-0.831,9.754,0.065,-0.014,0.013,-0.013,0.652,1.587,1,9,2,0,-0.83461875,-0.2671929,-9.231563,-0.029294772,-0.001970739,0.0076166405,-0.70186025,-0.24540567,-8.861239,-0.00541585,0.0062751914,0.011224732,59.3962224,24.6605743,23.679,-0.03342071379979022,0.01136276237661475,-0.054999999204805555,0.020000001,-0.014,0.014,0.027,0.13100001,0.261,-0.00025197907,-4.916989e-05,-0.1015425,0.9986911,-0.044718962,-0.024805803,0.0010186142,-0.0023778544,-0.002671835,-0.0039032062,0.012765009,0.0097965365,-0.006167232,1.2407315e-07,1.7966958e-07,1.0325749e-07,1.0378038e-07,1.210452e-07,1.6447802e-07,1.1225637e-05,1.455687e-05,6.549517e-06,2.3142862,-1.305075,-2.445047,0.9963055,-0.013797042,-0.035973452,-0.076752305,-0.019679248,-0.03487118,-0.11498826,0.0061568893,-0.000118235046,-0.0035674253,0.016577728,0.016577367,0.03279482,2.4440242e-05,2.4081439e-05,0.00034861767,0.005905663,0.0059044985,0.0065615224,-0.004181877,-0.0009551891,-6.6081535e-05,-0.024503602,0.04414199,-0.032478493,-0.002198892,0.0027777033,0.0016582106,0.0018865502,-0.0047016647,-0.06807621
565846321,-0.96174,-0.59019,-5.06714,0.0785,-0.03599,-0.00311,-1.04465,-0.78237,6.60986,0.29025,0.03131,-0.00988,186,565849631606,-0.0368,0.0012,-0.2162,0.0332,0.0875,0.01,-0.078,-0.005,-0.505,0.111,-0.149,0.056,0.517,-0.831,9.754,0.065,-0.014,0.013,-0.013,0.651,1.587,2,10,2,0,-0.62823856,0.70389533,-9.995314,-0.037390783,0.033449303,0.017310547,-0.60836667,0.5554548,-10.070251,-0.027225804,0.03679847,0.0331013,59.3962224,24.6605743,23.682,-0.03342071436885904,0.011362762400519826,-0.0579999995042452,0.008,-0.001,-0.008,-0.008,0.13100001,0.261,-0.0003218935,-4.783453e-05,-0.101508334,0.9986919,-0.04470884,-0.02479033,0.0010394896,-0.0019497207,-0.0024108223,-0.003722622,-0.013839282,0.0034093265,0.0024914893,1.2388628e-07,1.7967588e-07,1.0304347e-07,1.02209874e-07,1.1502457e-07,1.5707802e-07,1.1316489e-05,1.4475417e-05,6.4920155e-06,2.311169,-1.3034172,-2.4568355,0.99630064,-0.013843438,-0.03598656,-0.07680131,-0.019768778,-0.034713797,-0.12998089,-0.003915608,-0.0004558123,0.002812253,0.01627546,0.01627512,0.032305185,2.4352608e-05,2.3993149e-05,0.0003477657,0.005802732,0.0058015967,0.0064829756,-0.004181877,-0.0009551891,-6.6081535e-05,-0.024503602,0.04414199,-0.032478493,-0.002198636,0.0027814482,0.0016646015,0.0018885587,-0.0047019185,-0.06959279
