number,value,datetime_start,datetime_complete,duration,params_detector_matcher,params_essential_matrix_prob,params_essential_matrix_threshold,state
0,inf,2025-08-05 19:19:46.622144,2025-08-05 19:19:50.029787,0 days 00:00:03.407643,"('FAST', 'BF')",0.91,1.0,COMPLETE
1,54.17059059341034,2025-08-05 19:19:50.030031,2025-08-05 19:29:21.323038,0 days 00:09:31.293007,"('SIFT', 'BF')",0.8400000000000001,1.5,COMPLETE
2,inf,2025-08-05 19:29:21.323360,2025-08-05 19:29:22.544214,0 days 00:00:01.220854,"('ORB', 'BF')",0.8300000000000001,2.0,COMPLETE
3,inf,2025-08-05 19:29:22.544359,2025-08-05 19:29:29.194355,0 days 00:00:06.649996,"('GFTT', 'BF')",0.8700000000000001,1.5,COMPLETE
4,inf,2025-08-05 19:29:29.194512,2025-08-05 19:29:29.437393,0 days 00:00:00.242881,"('SIMPLE_BLOB', 'BF')",0.8300000000000001,1.0,COMPLETE
5,149.62550722786654,2025-08-05 19:29:29.437542,2025-08-05 19:43:16.142059,0 days 00:13:46.704517,"('KAZE', 'FLANN')",0.9400000000000001,3.0,COMPLETE
6,inf,2025-08-05 19:43:16.142352,2025-08-05 19:43:39.189387,0 days 00:00:23.047035,"('AKAZE', 'BF')",0.8700000000000001,1.0,COMPLETE
7,108.4386943339445,2025-08-05 19:43:39.189631,2025-08-05 20:25:19.451652,0 days 00:41:40.262021,"('FFD', 'BF')",0.92,2.0,COMPLETE
8,inf,2025-08-05 20:25:19.451878,2025-08-05 20:25:43.323511,0 days 00:00:23.871633,"('AKAZE', 'BF')",0.93,1.0,COMPLETE
9,inf,2025-08-05 20:25:43.323766,2025-08-05 20:25:43.735252,0 days 00:00:00.411486,"('ORB', 'BF')",0.92,3.0,COMPLETE
